"Plot Title: flam.mid"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 1282988, SEN S/N: 1282988, LBL: k)","Temp, °C (LGR S/N: 1282988, SEN S/N: 1282988, LBL: temp)","Host Connected (LGR S/N: 1282988)","Stopped (LGR S/N: 1282988)","End Of File (LGR S/N: 1282988)"
1,06/22/21 08:55:54 AM,20.27,20.627,,,
2,06/22/21 08:55:55 AM,19.93,20.650,,,
3,06/22/21 08:55:56 AM,20.27,20.674,,,
4,06/22/21 08:55:57 AM,20.27,20.674,,,
5,06/22/21 08:55:58 AM,20.27,20.674,,,
6,06/22/21 08:55:59 AM,20.27,20.698,,,
7,06/22/21 08:56:00 AM,20.27,20.722,,,
8,06/22/21 08:56:01 AM,20.27,20.722,,,
9,06/22/21 08:56:02 AM,20.27,20.722,,,
10,06/22/21 08:56:03 AM,20.27,20.746,,,
11,06/22/21 08:56:04 AM,20.27,20.746,,,
12,06/22/21 08:56:05 AM,20.27,20.770,,,
13,06/22/21 08:56:06 AM,20.27,20.770,,,
14,06/22/21 08:56:07 AM,20.27,20.793,,,
15,06/22/21 08:56:08 AM,20.27,20.793,,,
16,06/22/21 08:56:09 AM,20.27,20.817,,,
17,06/22/21 08:56:10 AM,20.27,20.817,,,
18,06/22/21 08:56:11 AM,20.27,20.817,,,
19,06/22/21 08:56:12 AM,20.27,20.841,,,
20,06/22/21 08:56:13 AM,20.27,20.865,,,
21,06/22/21 08:56:14 AM,20.27,20.865,,,
22,06/22/21 08:56:15 AM,20.27,20.889,,,
23,06/22/21 08:56:16 AM,20.27,20.889,,,
24,06/22/21 08:56:17 AM,20.27,20.913,,,
25,06/22/21 08:56:18 AM,20.27,20.913,,,
26,06/22/21 08:56:19 AM,20.27,20.936,,,
27,06/22/21 08:56:20 AM,20.27,20.936,,,
28,06/22/21 08:56:21 AM,20.27,20.960,,,
29,06/22/21 08:56:22 AM,20.27,20.960,,,
30,06/22/21 08:56:23 AM,20.61,20.960,,,
31,06/22/21 08:56:24 AM,20.27,20.984,,,
32,06/22/21 08:56:25 AM,20.61,20.984,,,
33,06/22/21 08:56:26 AM,20.61,21.008,,,
34,06/22/21 08:56:27 AM,20.61,21.008,,,
35,06/22/21 08:56:28 AM,20.61,21.008,,,
36,06/22/21 08:56:29 AM,20.61,21.032,,,
37,06/22/21 08:56:30 AM,20.61,21.032,,,
38,06/22/21 08:56:31 AM,20.61,21.032,,,
39,06/22/21 08:56:32 AM,20.61,21.056,,,
40,06/22/21 08:56:33 AM,20.61,21.056,,,
41,06/22/21 08:56:34 AM,20.61,21.056,,,
42,06/22/21 08:56:35 AM,20.61,21.056,,,
43,06/22/21 08:56:36 AM,20.61,21.079,,,
44,06/22/21 08:56:37 AM,20.61,21.079,,,
45,06/22/21 08:56:38 AM,20.61,21.103,,,
46,06/22/21 08:56:39 AM,20.61,21.103,,,
47,06/22/21 08:56:40 AM,20.61,21.103,,,
48,06/22/21 08:56:41 AM,20.61,21.103,,,
49,06/22/21 08:56:42 AM,20.61,21.103,,,
50,06/22/21 08:56:43 AM,20.61,21.127,,,
51,06/22/21 08:56:44 AM,20.61,21.127,,,
52,06/22/21 08:56:45 AM,20.61,21.127,,,
53,06/22/21 08:56:46 AM,20.61,21.151,,,
54,06/22/21 08:56:47 AM,20.61,21.151,,,
55,06/22/21 08:56:48 AM,20.61,21.151,,,
56,06/22/21 08:56:49 AM,20.61,21.151,,,
57,06/22/21 08:56:50 AM,20.61,21.151,,,
58,06/22/21 08:56:51 AM,20.61,21.175,,,
59,06/22/21 08:56:52 AM,20.61,21.175,,,
60,06/22/21 08:56:53 AM,20.61,21.175,,,
61,06/22/21 08:56:54 AM,20.61,21.175,,,
62,06/22/21 08:56:55 AM,20.61,21.175,,,
63,06/22/21 08:56:56 AM,20.61,21.199,,,
64,06/22/21 08:56:57 AM,20.61,21.199,,,
65,06/22/21 08:56:58 AM,20.61,21.199,,,
66,06/22/21 08:56:59 AM,20.95,21.199,,,
67,06/22/21 08:57:00 AM,20.95,21.199,,,
68,06/22/21 08:57:01 AM,20.61,21.199,,,
69,06/22/21 08:57:02 AM,20.95,21.199,,,
70,06/22/21 08:57:03 AM,20.95,21.223,,,
71,06/22/21 08:57:04 AM,20.95,21.223,,,
72,06/22/21 08:57:05 AM,20.61,21.223,,,
73,06/22/21 08:57:06 AM,20.95,21.223,,,
74,06/22/21 08:57:07 AM,20.95,21.246,,,
75,06/22/21 08:57:08 AM,20.95,21.246,,,
76,06/22/21 08:57:09 AM,20.95,21.246,,,
77,06/22/21 08:57:10 AM,20.95,21.246,,,
78,06/22/21 08:57:11 AM,20.95,21.246,,,
79,06/22/21 08:57:12 AM,20.95,21.246,,,
80,06/22/21 08:57:13 AM,20.95,21.246,,,
81,06/22/21 08:57:14 AM,20.95,21.270,,,
82,06/22/21 08:57:15 AM,20.95,21.270,,,
83,06/22/21 08:57:16 AM,20.95,21.270,,,
84,06/22/21 08:57:17 AM,20.95,21.270,,,
85,06/22/21 08:57:18 AM,20.95,21.270,,,
86,06/22/21 08:57:19 AM,20.95,21.294,,,
87,06/22/21 08:57:20 AM,20.95,21.294,,,
88,06/22/21 08:57:21 AM,20.95,21.294,,,
89,06/22/21 08:57:22 AM,20.95,21.294,,,
90,06/22/21 08:57:23 AM,20.95,21.294,,,
91,06/22/21 08:57:24 AM,20.95,21.294,,,
92,06/22/21 08:57:25 AM,20.95,21.294,,,
93,06/22/21 08:57:26 AM,20.95,21.294,,,
94,06/22/21 08:57:27 AM,20.95,21.318,,,
95,06/22/21 08:57:28 AM,20.95,21.318,,,
96,06/22/21 08:57:29 AM,20.95,21.318,,,
97,06/22/21 08:57:30 AM,20.95,21.318,,,
98,06/22/21 08:57:31 AM,20.95,21.318,,,
99,06/22/21 08:57:32 AM,20.95,21.318,,,
100,06/22/21 08:57:33 AM,20.95,21.318,,,
101,06/22/21 08:57:34 AM,20.95,21.342,,,
102,06/22/21 08:57:35 AM,20.95,21.342,,,
103,06/22/21 08:57:36 AM,20.95,21.342,,,
104,06/22/21 08:57:37 AM,20.95,21.342,,,
105,06/22/21 08:57:38 AM,20.95,21.342,,,
106,06/22/21 08:57:39 AM,20.95,21.342,,,
107,06/22/21 08:57:40 AM,20.95,21.342,,,
108,06/22/21 08:57:41 AM,20.95,21.342,,,
109,06/22/21 08:57:42 AM,20.95,21.342,,,
110,06/22/21 08:57:43 AM,20.95,21.342,,,
111,06/22/21 08:57:44 AM,20.95,21.342,,,
112,06/22/21 08:57:45 AM,20.95,21.342,,,
113,06/22/21 08:57:46 AM,20.95,21.342,,,
114,06/22/21 08:57:47 AM,20.95,21.366,,,
115,06/22/21 08:57:48 AM,20.95,21.366,,,
116,06/22/21 08:57:49 AM,20.95,21.366,,,
117,06/22/21 08:57:50 AM,20.95,21.366,,,
118,06/22/21 08:57:51 AM,20.95,21.366,,,
119,06/22/21 08:57:52 AM,20.95,21.366,,,
120,06/22/21 08:57:53 AM,20.95,21.366,,,
121,06/22/21 08:57:54 AM,20.95,21.366,,,
122,06/22/21 08:57:55 AM,20.95,21.390,,,
123,06/22/21 08:57:56 AM,20.95,21.390,,,
124,06/22/21 08:57:57 AM,20.95,21.390,,,
125,06/22/21 08:57:58 AM,20.95,21.366,,,
126,06/22/21 08:57:59 AM,20.95,21.390,,,
127,06/22/21 08:58:00 AM,20.95,21.390,,,
128,06/22/21 08:58:01 AM,20.95,21.390,,,
129,06/22/21 08:58:02 AM,20.95,21.390,,,
130,06/22/21 08:58:03 AM,20.95,21.390,,,
131,06/22/21 08:58:04 AM,20.95,21.390,,,
132,06/22/21 08:58:05 AM,20.95,21.390,,,
133,06/22/21 08:58:06 AM,20.95,21.390,,,
134,06/22/21 08:58:07 AM,20.95,21.390,,,
135,06/22/21 08:58:08 AM,20.95,21.413,,,
136,06/22/21 08:58:09 AM,20.95,21.413,,,
137,06/22/21 08:58:10 AM,20.95,21.413,,,
138,06/22/21 08:58:11 AM,20.95,21.413,,,
