"Plot Title: flam.mid"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 1282988, SEN S/N: 1282988, LBL: k)","Temp, °C (LGR S/N: 1282988, SEN S/N: 1282988, LBL: temp)","Host Connected (LGR S/N: 1282988)","Stopped (LGR S/N: 1282988)","End Of File (LGR S/N: 1282988)"
1,06/23/21 09:06:14 AM,25.32,24.702,,,
2,06/23/21 09:06:15 AM,24.98,24.726,,,
3,06/23/21 09:06:16 AM,24.98,24.726,,,
4,06/23/21 09:06:17 AM,24.98,24.726,,,
5,06/23/21 09:06:18 AM,24.98,24.750,,,
6,06/23/21 09:06:19 AM,24.98,24.750,,,
7,06/23/21 09:06:20 AM,25.32,24.750,,,
8,06/23/21 09:06:21 AM,25.32,24.750,,,
9,06/23/21 09:06:22 AM,25.32,24.774,,,
10,06/23/21 09:06:23 AM,25.32,24.774,,,
11,06/23/21 09:06:24 AM,25.32,24.774,,,
12,06/23/21 09:06:25 AM,24.98,24.774,,,
13,06/23/21 09:06:26 AM,24.98,24.798,,,
14,06/23/21 09:06:27 AM,24.98,24.798,,,
15,06/23/21 09:06:28 AM,25.32,24.798,,,
16,06/23/21 09:06:29 AM,25.32,24.823,,,
17,06/23/21 09:06:30 AM,24.98,24.823,,,
18,06/23/21 09:06:31 AM,24.98,24.823,,,
19,06/23/21 09:06:32 AM,25.32,24.823,,,
20,06/23/21 09:06:33 AM,25.32,24.847,,,
21,06/23/21 09:06:34 AM,24.98,24.847,,,
22,06/23/21 09:06:35 AM,24.98,24.847,,,
23,06/23/21 09:06:36 AM,24.98,24.847,,,
24,06/23/21 09:06:37 AM,24.98,24.871,,,
25,06/23/21 09:06:38 AM,24.98,24.871,,,
26,06/23/21 09:06:39 AM,24.98,24.871,,,
27,06/23/21 09:06:40 AM,25.32,24.871,,,
28,06/23/21 09:06:41 AM,24.98,24.895,,,
29,06/23/21 09:06:42 AM,24.98,24.895,,,
30,06/23/21 09:06:43 AM,24.98,24.895,,,
31,06/23/21 09:06:44 AM,24.98,24.919,,,
32,06/23/21 09:06:45 AM,24.98,24.919,,,
33,06/23/21 09:06:46 AM,24.98,24.919,,,
34,06/23/21 09:06:47 AM,24.98,24.944,,,
35,06/23/21 09:06:48 AM,24.98,24.944,,,
36,06/23/21 09:06:49 AM,24.98,24.944,,,
