"Plot Title: flam.right"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 1253388, SEN S/N: 1253388, LBL: k)","Temp, °C (LGR S/N: 1253388, SEN S/N: 1253388, LBL: temp)","Host Connected (LGR S/N: 1253388)","Stopped (LGR S/N: 1253388)","End Of File (LGR S/N: 1253388)"
1,06/23/21 09:06:49 AM,24.98,24.992,,,
2,06/23/21 09:06:50 AM,25.32,24.992,,,
3,06/23/21 09:06:51 AM,25.32,25.016,,,
4,06/23/21 09:06:52 AM,25.32,25.016,,,
5,06/23/21 09:06:53 AM,25.32,25.016,,,
6,06/23/21 09:06:54 AM,24.98,25.016,,,
7,06/23/21 09:06:55 AM,24.98,25.016,,,
8,06/23/21 09:06:56 AM,25.32,25.040,,,
9,06/23/21 09:06:57 AM,25.32,25.040,,,
10,06/23/21 09:06:58 AM,25.32,25.040,,,
11,06/23/21 09:06:59 AM,24.98,25.040,,,
12,06/23/21 09:07:00 AM,25.32,25.065,,,
13,06/23/21 09:07:01 AM,24.98,25.065,,,
14,06/23/21 09:07:02 AM,24.98,25.089,,,
15,06/23/21 09:07:03 AM,24.98,25.089,,,
16,06/23/21 09:07:04 AM,25.32,25.089,,,
17,06/23/21 09:07:05 AM,25.32,25.113,,,
18,06/23/21 09:07:06 AM,24.98,25.113,,,
19,06/23/21 09:07:07 AM,24.98,25.113,,,
20,06/23/21 09:07:08 AM,24.98,25.137,,,
21,06/23/21 09:07:09 AM,24.98,25.137,,,
22,06/23/21 09:07:10 AM,25.32,25.137,,,
23,06/23/21 09:07:11 AM,25.32,25.162,,,
24,06/23/21 09:07:12 AM,25.32,25.162,,,
25,06/23/21 09:07:13 AM,25.32,25.162,,,
26,06/23/21 09:07:14 AM,25.32,25.162,,,
27,06/23/21 09:07:15 AM,25.32,25.186,,,
28,06/23/21 09:07:16 AM,25.32,25.186,,,
29,06/23/21 09:07:17 AM,25.32,25.186,,,
30,06/23/21 09:07:18 AM,25.32,25.210,,,
31,06/23/21 09:07:19 AM,25.32,25.210,,,
32,06/23/21 09:07:20 AM,24.98,25.210,,,
33,06/23/21 09:07:21 AM,24.98,25.210,,,
34,06/23/21 09:07:22 AM,25.32,25.234,,,
35,06/23/21 09:07:23 AM,25.32,25.234,,,
36,06/23/21 09:07:24 AM,25.32,25.234,,,
37,06/23/21 09:07:25 AM,24.98,25.234,,,
38,06/23/21 09:07:26 AM,25.32,25.258,,,
39,06/23/21 09:07:27 AM,25.32,25.258,,,
40,06/23/21 09:07:28 AM,25.32,25.258,,,
41,06/23/21 09:07:29 AM,25.32,25.258,,,
42,06/23/21 09:07:30 AM,25.32,25.258,,,
43,06/23/21 09:07:31 AM,25.32,25.258,,,
44,06/23/21 09:07:32 AM,25.32,25.283,,,
45,06/23/21 09:07:33 AM,25.32,25.283,,,
46,06/23/21 09:07:34 AM,25.32,25.283,,,
47,06/23/21 09:07:35 AM,25.32,25.283,,,
48,06/23/21 09:07:36 AM,25.32,25.283,,,
49,06/23/21 09:07:37 AM,25.32,25.283,,,
50,06/23/21 09:07:38 AM,25.32,25.283,,,
51,06/23/21 09:07:39 AM,25.32,25.283,,,
52,06/23/21 09:07:40 AM,25.32,25.307,,,
53,06/23/21 09:07:41 AM,25.32,25.307,,,
54,06/23/21 09:07:42 AM,25.32,25.307,,,
55,06/23/21 09:07:43 AM,25.32,25.307,,,
