Sample_ID,Species_ID,Trial,Trial Time,RH_Percent,WS_Mile/hr,Tem(F),Pre_Mass_gm,Post_Mass_gm,Pre.Tem(D1)_Celcius,Pre.Tem(D2)_Celcius,Flame_Ht_cm,Flame_Dur_Sec,Post.Tem(D1)_Celcius,Post.Tem(D2)_Celcius,Vol.Bur(%),Max.Tem,Ignition
ME01,1022,29,9:44,53.6,1.3,76.4,228.3,200.2,165,155.8,0,0,160.8,149.2,2,225,0
ME02,1002,33,11:03,42.2,1.7,80.7,108.9,81.4,161.3,146.7,30,20,169.3,168,16,219,1
ME03,1113,43,10:01,61.7,4.5,79.3,126.1,83.3,170.3,158.4,22,4,171.7,170.1,48,260,1
ME04,2006,35,11:18,47.6,1.8,81.9,38.7,17.2,170.14,160,3,5,172.2,186.8,48,240,1
ME05,1000,28,9:34,49.8,2.8,71.1,223.3,123.5,160.6,142.7,45,9,215,180,55,220,1
ME06,1113,31,10:01,51.6,1.2,77.7,58.3,40.7,130.2,161.2,23,20,142,160.7,8,248,1
ME07,2003,36,11:25,44.3,3.8,81,117.7,103.4,168,156.7,5,11,168.2,159.3,15,326,1
ME08,2005,27,9:21,50.9,2.4,69.8,21.1,15.5,168.9,152.6,36,7,159,140.2,20,238,1
ME09,2007,49,11:31,54.7,8.3,85.5,127,100,163.3,149,12,7,177,170.1,12,317,1
RE08,1022,37,11:33,51,1.2,84.2,381.9,266.9,165.3,157.3,33,40,155,141,9,170,1
RE09,1002,39,11:49,46.9,2.7,83.2,49.3,39.5,168,164.9,35,41,185.9,180.8,45,313,1
RE10,1021,38,11:42,44.2,1.1,81.5,98.7,68.7,171.6,156.2,34,26,179.1,168.5,35,245,1
RE11,1000,34,11:11,45.6,1,82.6,164.7,108.6,174.13,158,46,40,215.5,196.2,32,228.4,1
RE12,1036,26,9:09,50.2,2.7,71.7,245.8,190.5,170,151,39,38,176,147,12,324,1
RE13,2003,32,10:11,43.9,1.1,76.6,100.6,90.8,157.8,154.1,2,2,157.2,153.6,3,210,1
RE14,2008,47,10:34,58.6,8,81.6,38,22.7,172.8,151.1,5,8,195,168.6,30,265,1
RE15,1021,46,10:26,59.9,5,81.4,221.7,179,174.5,152,41,27,177.3,155.1,20,278,1
RE16,1002,54,12:05,40.2,6.7,91.4,57.3,48.8,155.4,127.6,31,8,109.6,99.5,6,241.4,1
RE17,1022,53,11:58,54.4,6.6,88.1,244.1,39.2,164.2,150.8,74,125,306.2,158.1,85,534.1,1
RE18,1009,42,9:53,62.9,4.6,79.2,60.2,42.8,166.4,158.8,51,5,182,177.6,35,252,1
RE19,1036,41,9:41,64.8,2,79.2,71.4,43.2,169.1,158.9,24,7,163.4,159.2,18,245.5,1
RE20,1000,40,9:35,66,6.3,77.7,74.3,54.7,159.5,141.9,19,12,165.3,159.8,15,230,1
BD01,1022,50,11:38,56.2,5.5,84.9,221.8,201.7,166.9,152.3,0,0,164,146,5,186,0
BD02,1021,51,11:46,52,3.2,86.4,74.1,25.6,166.9,149.3,58,22,178,176.4,35,274.2,1
BD03,1036,48,11:25,56.2,4.1,84.6,104,67,154.1,139.2,29,8,161.7,148.2,8,257,1
BD04,1022,44,10:07,63.5,8.7,80.1,223.4,27.3,170.7,158,84,176,253.1,223,90,265,1
BD05,1000,52,11:52,52.2,3.6,86.9,42.1,29.5,173.2,155.3,11,7,177.2,164.1,8,229.2,1
BD06,1094,30,9.52,53.3,2.2,74.7,82.3,62.5,164,148.4,16,6,166.2,156.3,8,227,1
BD07,2009,45,10:18,61.3,3.6,81,82.2,63.2,172.5,162.4,3,13,178.1,160.1,12,257,1
