"Plot Title: flam.right"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 1253388, SEN S/N: 1253388, LBL: k)","Temp, °C (LGR S/N: 1253388, SEN S/N: 1253388, LBL: temp)","Host Connected (LGR S/N: 1253388)","Stopped (LGR S/N: 1253388)","End Of File (LGR S/N: 1253388)"
1,07/18/21 09:30:51 AM,26.66,25.744,,,
2,07/18/21 09:30:52 AM,26.66,25.768,,,
3,07/18/21 09:30:53 AM,26.66,25.768,,,
4,07/18/21 09:30:54 AM,26.66,25.768,,,
5,07/18/21 09:30:55 AM,26.66,25.793,,,
6,07/18/21 09:30:56 AM,26.66,25.793,,,
7,07/18/21 09:30:57 AM,26.66,25.793,,,
8,07/18/21 09:30:58 AM,26.66,25.793,,,
9,07/18/21 09:30:59 AM,26.66,25.817,,,
10,07/18/21 09:31:00 AM,26.66,25.817,,,
11,07/18/21 09:31:01 AM,26.66,25.841,,,
12,07/18/21 09:31:02 AM,26.66,25.841,,,
13,07/18/21 09:31:03 AM,26.66,25.866,,,
14,07/18/21 09:31:04 AM,26.66,25.866,,,
15,07/18/21 09:31:05 AM,26.66,25.866,,,
16,07/18/21 09:31:06 AM,27.00,25.890,,,
17,07/18/21 09:31:07 AM,26.66,25.890,,,
18,07/18/21 09:31:08 AM,26.66,25.890,,,
19,07/18/21 09:31:09 AM,26.66,25.914,,,
20,07/18/21 09:31:10 AM,26.66,25.914,,,
21,07/18/21 09:31:11 AM,26.66,25.914,,,
22,07/18/21 09:31:12 AM,26.66,25.939,,,
23,07/18/21 09:31:13 AM,26.66,25.939,,,
24,07/18/21 09:31:14 AM,26.66,25.939,,,
25,07/18/21 09:31:15 AM,26.66,25.939,,,
26,07/18/21 09:31:16 AM,26.66,25.963,,,
27,07/18/21 09:31:17 AM,26.33,25.963,,,
28,07/18/21 09:31:18 AM,26.66,25.963,,,
29,07/18/21 09:31:19 AM,26.33,25.987,,,
30,07/18/21 09:31:20 AM,26.33,25.987,,,
31,07/18/21 09:31:21 AM,26.33,25.987,,,
32,07/18/21 09:31:22 AM,26.33,25.987,,,
33,07/18/21 09:31:23 AM,26.33,25.987,,,
34,07/18/21 09:31:24 AM,26.33,25.987,,,
35,07/18/21 09:31:25 AM,26.33,26.012,,,
36,07/18/21 09:31:26 AM,26.66,26.012,,,
37,07/18/21 09:31:27 AM,26.33,26.012,,,
38,07/18/21 09:31:28 AM,26.33,26.012,,,
39,07/18/21 09:31:29 AM,26.66,26.036,,,
40,07/18/21 09:31:30 AM,26.33,26.036,,,
41,07/18/21 09:31:31 AM,26.33,26.036,,,
42,07/18/21 09:31:32 AM,26.33,26.036,,,
43,07/18/21 09:31:33 AM,26.66,26.036,,,
44,07/18/21 09:31:34 AM,26.33,26.036,,,
