"Plot Title: flam.mid"
"#","Date Time, GMT-06:00","K-Type, °C (LGR S/N: 1282988, SEN S/N: 1282988, LBL: k)","Temp, °C (LGR S/N: 1282988, SEN S/N: 1282988, LBL: temp)","Button Down (LGR S/N: 1282988)","Button Up (LGR S/N: 1282988)","Host Connected (LGR S/N: 1282988)","Stopped (LGR S/N: 1282988)","End Of File (LGR S/N: 1282988)"
1,11/01/20 11:02:50 AM,43.30,19.888,,,,,
2,11/01/20 11:02:51 AM,41.97,19.888,,,,,
3,11/01/20 11:02:52 AM,30.01,19.912,,,,,
4,11/01/20 11:02:53 AM,24.98,19.912,,,,,
5,11/01/20 11:02:54 AM,44.29,19.912,,,,,
6,11/01/20 11:02:55 AM,47.58,19.936,,,,,
7,11/01/20 11:02:56 AM,33.68,19.936,,,,,
8,11/01/20 11:02:57 AM,27.00,19.936,,,,,
9,11/01/20 11:02:58 AM,23.64,19.936,,,,,
10,11/01/20 11:02:59 AM,21.96,19.936,,,,,
11,11/01/20 11:03:00 AM,21.62,19.960,,,,,
12,11/01/20 11:03:01 AM,20.95,19.936,,,,,
13,11/01/20 11:03:02 AM,20.61,19.960,,,,,
14,11/01/20 11:03:03 AM,2.98,19.960,,,,,
15,11/01/20 11:03:04 AM,-0.77,19.960,,,,,
16,11/01/20 11:03:05 AM,3.66,19.960,,,,,
17,11/01/20 11:03:06 AM,14.53,19.960,,,,,
18,11/01/20 11:03:07 AM,19.26,19.984,,,,,
19,11/01/20 11:03:08 AM,16.22,19.984,,,,,
20,11/01/20 11:03:09 AM,12.83,19.984,,,,,
21,11/01/20 11:03:10 AM,16.90,19.984,,,,,
22,11/01/20 11:03:11 AM,17.91,19.984,,,,,
23,11/01/20 11:03:12 AM,18.92,20.007,,,,,
24,11/01/20 11:03:13 AM,15.88,20.007,,,,,
25,11/01/20 11:03:14 AM,20.95,20.007,,,,,
26,11/01/20 11:03:15 AM,20.61,20.007,,,,,
27,11/01/20 11:03:16 AM,24.31,20.007,,,,,
28,11/01/20 11:03:17 AM,20.61,20.007,,,,,
29,11/01/20 11:03:18 AM,18.58,20.031,,,,,
30,11/01/20 11:03:19 AM,19.26,20.031,,,,,
31,11/01/20 11:03:20 AM,20.95,20.031,,,,,
32,11/01/20 11:03:21 AM,21.62,20.055,,,,,
33,11/01/20 11:03:22 AM,21.96,20.055,,,,,
34,11/01/20 11:03:23 AM,17.23,20.055,,,,,
35,11/01/20 11:03:24 AM,16.90,20.055,,,,,
36,11/01/20 11:03:25 AM,15.20,20.079,,,,,
37,11/01/20 11:03:26 AM,18.58,20.079,,,,,
38,11/01/20 11:03:27 AM,19.60,20.079,,,,,
39,11/01/20 11:03:28 AM,16.90,20.079,,,,,
40,11/01/20 11:03:29 AM,16.90,20.079,,,,,
41,11/01/20 11:03:30 AM,16.90,20.079,,,,,
42,11/01/20 11:03:31 AM,16.90,20.079,,,,,
43,11/01/20 11:03:32 AM,16.90,20.079,,,,,
44,11/01/20 11:03:33 AM,16.90,20.079,,,,,
45,11/01/20 11:03:34 AM,16.90,20.055,,,,,
46,11/01/20 11:03:35 AM,16.90,20.055,,,,,
47,11/01/20 11:03:36 AM,16.90,20.031,,,,,
48,11/01/20 11:03:37 AM,16.90,20.031,,,,,
49,11/01/20 11:03:38 AM,16.90,20.031,,,,,
50,11/01/20 11:03:39 AM,16.90,20.031,,,,,
51,11/01/20 11:03:40 AM,16.90,20.007,,,,,
52,11/01/20 11:03:41 AM,16.90,20.007,,,,,
53,11/01/20 11:03:42 AM,16.90,20.007,,,,,
54,11/01/20 11:03:43 AM,16.90,20.007,,,,,
55,11/01/20 11:03:44 AM,16.90,19.984,,,,,
56,11/01/20 11:03:45 AM,16.90,19.984,,,,,
57,11/01/20 11:03:46 AM,16.90,19.984,,,,,
58,11/01/20 11:03:47 AM,16.90,19.960,,,,,
59,11/01/20 11:03:48 AM,16.56,19.960,,,,,
60,11/01/20 11:03:49 AM,16.56,19.960,,,,,
61,11/01/20 11:03:50 AM,16.90,19.960,,,,,
62,11/01/20 11:03:51 AM,16.56,19.936,,,,,
63,11/01/20 11:03:52 AM,16.90,19.936,,,,,
64,11/01/20 11:03:53 AM,16.56,19.936,,,,,
65,11/01/20 11:03:54 AM,16.90,19.936,,,,,
66,11/01/20 11:03:55 AM,16.56,19.912,,,,,
67,11/01/20 11:03:56 AM,16.56,19.912,,,,,
68,11/01/20 11:03:57 AM,16.56,19.912,,,,,
69,11/01/20 11:03:58 AM,16.90,19.912,,,,,
70,11/01/20 11:03:59 AM,16.90,19.888,,,,,
71,11/01/20 11:04:00 AM,17.23,19.888,,,,,
72,11/01/20 11:04:01 AM,18.25,19.888,,,,,
73,11/01/20 11:04:02 AM,18.58,19.888,,,,,
74,11/01/20 11:04:03 AM,18.92,19.888,,,,,
75,11/01/20 11:04:04 AM,19.26,19.888,,,,,
76,11/01/20 11:04:05 AM,19.60,19.888,,,,,
77,11/01/20 11:04:06 AM,19.26,19.865,,,,,
78,11/01/20 11:04:07 AM,19.26,19.865,,,,,
79,11/01/20 11:04:08 AM,19.26,19.865,,,,,
80,11/01/20 11:04:09 AM,18.92,19.865,,,,,
81,11/01/20 11:04:10 AM,18.92,19.841,,,,,
82,11/01/20 11:04:11 AM,18.92,19.865,,,,,
83,11/01/20 11:04:12 AM,18.92,19.841,,,,,
84,11/01/20 11:04:13 AM,18.92,19.841,,,,,
85,11/01/20 11:04:14 AM,18.58,19.817,,,,,
86,11/01/20 11:04:15 AM,18.58,19.841,,,,,
87,11/01/20 11:04:16 AM,18.58,19.817,,,,,
88,11/01/20 11:04:17 AM,18.58,19.817,,,,,
89,11/01/20 11:04:18 AM,18.58,19.817,,,,,
90,11/01/20 11:04:19 AM,18.58,19.817,,,,,
91,11/01/20 11:04:20 AM,18.58,19.817,,,,,
92,11/01/20 11:04:21 AM,18.25,19.793,,,,,
93,11/01/20 11:04:22 AM,18.25,19.793,,,,,
94,11/01/20 11:04:23 AM,18.25,19.793,,,,,
95,11/01/20 11:04:24 AM,18.25,19.793,,,,,
