"Plot Title: flam.mid"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 1282988, SEN S/N: 1282988)","Temp, °C (LGR S/N: 1282988, SEN S/N: 1282988)","Host Connected (LGR S/N: 1282988)","Stopped (LGR S/N: 1282988)","End Of File (LGR S/N: 1282988)"
1,09/24/20 08:29:22 AM,40.98,20.841,,,
2,09/24/20 08:29:23 AM,40.65,20.841,,,
3,09/24/20 08:29:24 AM,29.01,20.841,,,
4,09/24/20 08:29:25 AM,24.65,20.865,,,
5,09/24/20 08:29:26 AM,22.29,20.865,,,
6,09/24/20 08:29:27 AM,12.49,20.865,,,
7,09/24/20 08:29:28 AM,16.90,20.865,,,
8,09/24/20 08:29:29 AM,17.91,20.865,,,
9,09/24/20 08:29:30 AM,19.26,20.865,,,
10,09/24/20 08:29:31 AM,7.06,20.865,,,
11,09/24/20 08:29:32 AM,10.12,20.865,,,
12,09/24/20 08:29:33 AM,12.15,20.889,,,
13,09/24/20 08:29:34 AM,13.17,20.889,,,
14,09/24/20 08:29:35 AM,16.56,20.889,,,
15,09/24/20 08:29:36 AM,17.91,20.913,,,
16,09/24/20 08:29:37 AM,18.58,20.936,,,
17,09/24/20 08:29:38 AM,18.92,20.936,,,
18,09/24/20 08:29:39 AM,15.54,20.936,,,
19,09/24/20 08:29:40 AM,17.57,20.936,,,
20,09/24/20 08:29:41 AM,18.58,20.960,,,
21,09/24/20 08:29:42 AM,19.26,20.984,,,
22,09/24/20 08:29:43 AM,24.65,20.984,,,
23,09/24/20 08:29:44 AM,22.29,21.008,,,
24,09/24/20 08:29:45 AM,17.57,21.008,,,
25,09/24/20 08:29:46 AM,15.54,21.032,,,
26,09/24/20 08:29:47 AM,15.54,21.032,,,
27,09/24/20 08:29:48 AM,16.22,21.056,,,
28,09/24/20 08:29:49 AM,15.88,21.056,,,
29,09/24/20 08:29:50 AM,15.88,21.056,,,
30,09/24/20 08:29:51 AM,15.88,21.056,,,
31,09/24/20 08:29:52 AM,15.54,21.032,,,
32,09/24/20 08:29:53 AM,15.54,21.032,,,
33,09/24/20 08:29:54 AM,15.54,21.032,,,
34,09/24/20 08:29:55 AM,15.54,21.032,,,
35,09/24/20 08:29:56 AM,15.54,21.008,,,
36,09/24/20 08:29:57 AM,15.54,21.008,,,
37,09/24/20 08:29:58 AM,15.54,21.008,,,
38,09/24/20 08:29:59 AM,15.54,21.008,,,
39,09/24/20 08:30:00 AM,15.54,20.984,,,
40,09/24/20 08:30:01 AM,15.54,20.984,,,
41,09/24/20 08:30:02 AM,15.54,20.984,,,
42,09/24/20 08:30:03 AM,15.54,20.984,,,
43,09/24/20 08:30:04 AM,15.54,20.984,,,
44,09/24/20 08:30:05 AM,15.54,20.984,,,
45,09/24/20 08:30:06 AM,15.54,20.984,,,
46,09/24/20 08:30:07 AM,15.54,20.960,,,
47,09/24/20 08:30:08 AM,15.54,20.960,,,
48,09/24/20 08:30:09 AM,15.54,20.960,,,
49,09/24/20 08:30:10 AM,15.54,20.960,,,
50,09/24/20 08:30:11 AM,15.54,20.960,,,
51,09/24/20 08:30:12 AM,15.54,20.960,,,
52,09/24/20 08:30:13 AM,15.54,20.960,,,
53,09/24/20 08:30:14 AM,15.54,20.960,,,
54,09/24/20 08:30:15 AM,15.54,20.960,,,
55,09/24/20 08:30:16 AM,15.54,20.960,,,
56,09/24/20 08:30:17 AM,15.54,20.960,,,
57,09/24/20 08:30:18 AM,15.54,20.960,,,
58,09/24/20 08:30:19 AM,15.54,20.960,,,
59,09/24/20 08:30:20 AM,15.54,20.960,,,
60,09/24/20 08:30:21 AM,15.54,20.960,,,
61,09/24/20 08:30:22 AM,15.54,20.960,,,
62,09/24/20 08:30:23 AM,15.54,20.960,,,
63,09/24/20 08:30:24 AM,15.54,20.936,,,
64,09/24/20 08:30:25 AM,15.54,20.960,,,
65,09/24/20 08:30:26 AM,15.54,20.960,,,
66,09/24/20 08:30:27 AM,15.54,20.960,,,
67,09/24/20 08:30:28 AM,15.54,20.960,,,
68,09/24/20 08:30:29 AM,15.54,20.936,,,
69,09/24/20 08:30:30 AM,15.54,20.936,,,
70,09/24/20 08:30:31 AM,15.54,20.936,,,
71,09/24/20 08:30:32 AM,15.54,20.936,,,
72,09/24/20 08:30:33 AM,15.54,20.936,,,
73,09/24/20 08:30:34 AM,15.54,20.936,,,
74,09/24/20 08:30:35 AM,15.54,20.936,,,
75,09/24/20 08:30:36 AM,15.54,20.936,,,
76,09/24/20 08:30:37 AM,15.54,20.936,,,
77,09/24/20 08:30:38 AM,15.54,20.936,,,
78,09/24/20 08:30:39 AM,15.54,20.936,,,
79,09/24/20 08:30:40 AM,15.54,20.936,,,
80,09/24/20 08:30:41 AM,15.54,20.936,,,
81,09/24/20 08:30:42 AM,15.54,20.913,,,
82,09/24/20 08:30:43 AM,15.54,20.913,,,
83,09/24/20 08:30:44 AM,15.54,20.913,,,
84,09/24/20 08:30:45 AM,15.54,20.913,,,
85,09/24/20 08:30:46 AM,15.54,20.889,,,
86,09/24/20 08:30:47 AM,15.54,20.913,,,
87,09/24/20 08:30:48 AM,15.54,20.913,,,
88,09/24/20 08:30:49 AM,15.54,20.913,,,
89,09/24/20 08:30:50 AM,15.54,20.889,,,
90,09/24/20 08:30:51 AM,15.54,20.889,,,
91,09/24/20 08:30:52 AM,15.54,20.889,,,
92,09/24/20 08:30:53 AM,15.54,20.889,,,
93,09/24/20 08:30:54 AM,15.54,20.889,,,
94,09/24/20 08:30:55 AM,15.54,20.889,,,
95,09/24/20 08:30:56 AM,15.54,20.889,,,
96,09/24/20 08:30:57 AM,15.54,20.889,,,
97,09/24/20 08:30:58 AM,15.54,20.865,,,
98,09/24/20 08:30:59 AM,15.54,20.865,,,
99,09/24/20 08:31:00 AM,15.54,20.865,,,
100,09/24/20 08:31:01 AM,15.54,20.865,,,
101,09/24/20 08:31:02 AM,15.54,20.865,,,
102,09/24/20 08:31:03 AM,15.54,20.865,,,
103,09/24/20 08:31:04 AM,15.54,20.865,,,
104,09/24/20 08:31:05 AM,15.54,20.865,,,
105,09/24/20 08:31:06 AM,15.54,20.841,,,
106,09/24/20 08:31:07 AM,15.54,20.841,,,
107,09/24/20 08:31:08 AM,15.54,20.841,,,
108,09/24/20 08:31:09 AM,15.54,20.841,,,
109,09/24/20 08:31:10 AM,15.54,20.841,,,
110,09/24/20 08:31:11 AM,15.54,20.841,,,
111,09/24/20 08:31:12 AM,15.54,20.817,,,
112,09/24/20 08:31:13 AM,15.54,20.817,,,
113,09/24/20 08:31:14 AM,15.54,20.817,,,
114,09/24/20 08:31:15 AM,15.54,20.817,,,
115,09/24/20 08:31:16 AM,15.54,20.793,,,
116,09/24/20 08:31:17 AM,15.54,20.793,,,
117,09/24/20 08:31:18 AM,15.54,20.793,,,
118,09/24/20 08:31:19 AM,15.54,20.793,,,
119,09/24/20 08:31:20 AM,15.54,20.793,,,
120,09/24/20 08:31:21 AM,15.54,20.793,,,
121,09/24/20 08:31:22 AM,15.54,20.793,,,
122,09/24/20 08:31:23 AM,15.54,20.770,,,
123,09/24/20 08:31:24 AM,15.54,20.770,,,
124,09/24/20 08:31:25 AM,15.54,20.770,,,
125,09/24/20 08:31:26 AM,15.54,20.770,,,
126,09/24/20 08:31:27 AM,15.54,20.770,,,
127,09/24/20 08:31:28 AM,15.54,20.770,,,
128,09/24/20 08:31:29 AM,15.54,20.746,,,
129,09/24/20 08:31:30 AM,15.54,20.746,,,
130,09/24/20 08:31:31 AM,15.54,20.746,,,
131,09/24/20 08:31:32 AM,15.54,20.746,,,
132,09/24/20 08:31:33 AM,15.54,20.722,,,
133,09/24/20 08:31:34 AM,15.54,20.722,,,
134,09/24/20 08:31:35 AM,15.54,20.722,,,
135,09/24/20 08:31:36 AM,15.54,20.722,,,
136,09/24/20 08:31:37 AM,15.54,20.698,,,
137,09/24/20 08:31:38 AM,15.54,20.698,,,
138,09/24/20 08:31:39 AM,15.54,20.698,,,
