"Plot Title: "
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 1282988, SEN S/N: 1282988)","Started (LGR S/N: 1282988)","Host Connected (LGR S/N: 1282988)","Stopped (LGR S/N: 1282988)","End Of File (LGR S/N: 1282988)"
1,06/30/20 11:17:05 AM,33.01,Logged,,,
2,06/30/20 11:17:06 AM,32.68,,,,
3,06/30/20 11:17:07 AM,32.35,,,,
4,06/30/20 11:17:08 AM,32.68,,,,
5,06/30/20 11:17:09 AM,32.35,,,,
6,06/30/20 11:17:10 AM,32.35,,,,
7,06/30/20 11:17:11 AM,32.35,,,,
8,06/30/20 11:17:12 AM,32.35,,,,
9,06/30/20 11:17:13 AM,32.35,,,,
10,06/30/20 11:17:14 AM,32.68,,,,
11,06/30/20 11:17:15 AM,32.35,,,,
12,06/30/20 11:17:16 AM,32.35,,,,
13,06/30/20 11:17:17 AM,32.35,,,,
14,06/30/20 11:17:18 AM,32.35,,,,
15,06/30/20 11:17:19 AM,32.68,,,,
16,06/30/20 11:17:20 AM,32.68,,,,
17,06/30/20 11:17:21 AM,32.68,,,,
18,06/30/20 11:17:22 AM,32.35,,,,
19,06/30/20 11:17:23 AM,32.68,,,,
20,06/30/20 11:17:24 AM,32.68,,,,
21,06/30/20 11:17:25 AM,32.68,,,,
22,06/30/20 11:17:26 AM,32.35,,,,
23,06/30/20 11:17:27 AM,32.68,,,,
24,06/30/20 11:17:28 AM,32.68,,,,
25,06/30/20 11:17:29 AM,32.68,,,,
26,06/30/20 11:17:30 AM,32.68,,,,
27,06/30/20 11:17:31 AM,32.68,,,,
28,06/30/20 11:17:32 AM,32.68,,,,
29,06/30/20 11:17:33 AM,32.68,,,,
30,06/30/20 11:17:34 AM,32.68,,,,
31,06/30/20 11:17:35 AM,32.68,,,,
32,06/30/20 11:17:36 AM,32.68,,,,
33,06/30/20 11:17:37 AM,32.68,,,,
34,06/30/20 11:17:38 AM,32.68,,,,
35,06/30/20 11:17:39 AM,32.68,,,,
36,06/30/20 11:17:40 AM,32.68,,,,
37,06/30/20 11:17:41 AM,32.68,,,,
38,06/30/20 11:17:42 AM,32.68,,,,
39,06/30/20 11:17:43 AM,32.68,,,,
40,06/30/20 11:17:44 AM,32.68,,,,
41,06/30/20 11:17:45 AM,32.68,,,,
