Species,Family,Common Name,Species_ID,Notes
Diospyros texana,Ebenaceae,Texas Persimmon,1000,Found almost in every property
Mahonia trifoliolata,Berberidaceae,Agarita,1002,Found almost in every property
Juniperus ashei,Cupressaceae,Mountain Cedar/Ashe Juniper,1022,Found almost in every property
Juniperus pinchotii,Cupressaceae,Pinchot Juniper,2011,Only Found in Dickens Park
Sophora secundiflora,Fabaceae,Texas Mountain Laurel,1021,Found almost in every property
Mimosa borealis,Fabaceae,Pink Mimosa,1009,Haven't found in Bandera 
Quercus laceyi,Fagaceae,Lacey Oak,1059,Only collected from Edwards property
Quercus buckleyi,Fagaceae,Texas Red Oak,1078,Haven't seen in Edwards property
Quercus fusiformis,Fagaceae,Plateau Live Oak,2000,Only collected from Edwards property
Quercus virginiana,Fagaceae,Virginia Live Oak,QS,Just collected only one sample from Edwards 2020-22 property and won't collect anymore.
Rhus virens,Anacardiaceae,Evergreen Sumac,1036,Found almost in every property
Rhus microphylla,Anacardiaceae,Littleleaf Sumac,2006,"Found in Edwards 2020-22, Menard property and Dickens Park"
Rhus trilobata,Anacardiaceae,Three Leaf Sumac,2012,Found only in Dickens Park
Arbutus xalapensis,Ericaceae,Texas Madrone,1085,Found in Real 2020-11 and Bandera 2020-30 but only collected from Real 2020-11
Propsopis glandulosa,Fabaceae,Mesquite,1113,Found in Menard 2020-01 and Dickens Park
Condalia hookeri,Rhamnaceae,Bluewood,2003,Found almost in every property
Cotinus obovatus,Anacardiaceae,American Smoke Tree,1094,Only found in Bandera 2020-29
Cercis canadensis,Fabaceae,Texas Redbud,2009,Only found in Bandera 2020-29
Ziziphus obtusifolia,Rhamnaceae,Texas Buckthorn,2007,Found in Menard 2020-01 and Dickens Park
Forestiera reticulata,Oleaceae,Netleaf Forestiera,2010,Only collected from Edwards 2020-22
Pinus remota,Pinaceae,Remote Pinyon,2001,Only collected from Edwards property
Senegalia wrightii,Fabaceae,Wright Acacia,2005,Treated wrightii and romeriana as same species and found in almost every property except Bandera
Prunus serotina,Rosaceae,Escarpment Black Cherry,1070,Only one sample collected from Edwards 2020-23 property and won't collect any more
Yucca rupicola,Agavaceae,Twist Leaf Yucca,1100,Only one sample collected from Real 2020-11 property and won't collect anymore.
