"Plot Title: flam.right"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 1253388, SEN S/N: 1253388, LBL: k)","Temp, °C (LGR S/N: 1253388, SEN S/N: 1253388, LBL: temp)","Host Connected (LGR S/N: 1253388)","Stopped (LGR S/N: 1253388)","End Of File (LGR S/N: 1253388)"
1,06/04/21 09:35:54 AM,26.33,21.390,,,
2,06/04/21 09:35:55 AM,26.33,21.390,,,
3,06/04/21 09:35:56 AM,26.66,21.390,,,
4,06/04/21 09:35:57 AM,26.33,21.413,,,
5,06/04/21 09:35:58 AM,26.33,21.413,,,
6,06/04/21 09:35:59 AM,26.33,21.413,,,
7,06/04/21 09:36:00 AM,25.65,21.413,,,
8,06/04/21 09:36:01 AM,26.33,21.437,,,
9,06/04/21 09:36:02 AM,25.99,21.437,,,
10,06/04/21 09:36:03 AM,25.99,21.437,,,
11,06/04/21 09:36:04 AM,26.66,21.437,,,
12,06/04/21 09:36:05 AM,25.99,21.461,,,
13,06/04/21 09:36:06 AM,25.99,21.461,,,
14,06/04/21 09:36:07 AM,26.33,21.485,,,
15,06/04/21 09:36:08 AM,26.66,21.485,,,
16,06/04/21 09:36:09 AM,25.99,21.485,,,
17,06/04/21 09:36:10 AM,25.99,21.485,,,
18,06/04/21 09:36:11 AM,25.99,21.509,,,
19,06/04/21 09:36:12 AM,25.99,21.509,,,
20,06/04/21 09:36:13 AM,25.99,21.533,,,
21,06/04/21 09:36:14 AM,26.33,21.533,,,
22,06/04/21 09:36:15 AM,25.32,21.533,,,
23,06/04/21 09:36:16 AM,25.99,21.557,,,
24,06/04/21 09:36:17 AM,25.99,21.557,,,
25,06/04/21 09:36:18 AM,25.99,21.557,,,
26,06/04/21 09:36:19 AM,25.99,21.581,,,
27,06/04/21 09:36:20 AM,25.99,21.581,,,
28,06/04/21 09:36:21 AM,25.65,21.581,,,
29,06/04/21 09:36:22 AM,25.65,21.604,,,
30,06/04/21 09:36:23 AM,25.65,21.604,,,
31,06/04/21 09:36:24 AM,25.65,21.604,,,
32,06/04/21 09:36:25 AM,25.65,21.628,,,
33,06/04/21 09:36:26 AM,25.65,21.628,,,
34,06/04/21 09:36:27 AM,25.32,21.628,,,
35,06/04/21 09:36:28 AM,25.32,21.652,,,
36,06/04/21 09:36:29 AM,25.32,21.652,,,
37,06/04/21 09:36:30 AM,25.32,21.652,,,
38,06/04/21 09:36:31 AM,25.32,21.652,,,
39,06/04/21 09:36:32 AM,25.32,21.676,,,
40,06/04/21 09:36:33 AM,24.98,21.676,,,
41,06/04/21 09:36:34 AM,24.98,21.676,,,
42,06/04/21 09:36:35 AM,24.98,21.676,,,
43,06/04/21 09:36:36 AM,24.98,21.700,,,
44,06/04/21 09:36:37 AM,24.98,21.700,,,
45,06/04/21 09:36:38 AM,24.98,21.700,,,
46,06/04/21 09:36:39 AM,24.98,21.700,,,
47,06/04/21 09:36:40 AM,24.98,21.700,,,
48,06/04/21 09:36:41 AM,24.98,21.700,,,
49,06/04/21 09:36:42 AM,24.98,21.700,,,
50,06/04/21 09:36:43 AM,24.98,21.700,,,
51,06/04/21 09:36:44 AM,24.98,21.700,,,
52,06/04/21 09:36:45 AM,24.98,21.724,,,
53,06/04/21 09:36:46 AM,24.98,21.724,,,
54,06/04/21 09:36:47 AM,24.65,21.724,,,
55,06/04/21 09:36:48 AM,24.65,21.724,,,
56,06/04/21 09:36:49 AM,24.65,21.724,,,
57,06/04/21 09:36:50 AM,24.98,21.748,,,
58,06/04/21 09:36:51 AM,24.65,21.748,,,
59,06/04/21 09:36:52 AM,24.98,21.748,,,
60,06/04/21 09:36:53 AM,24.98,21.748,,,
61,06/04/21 09:36:54 AM,24.65,21.748,,,
62,06/04/21 09:36:55 AM,24.65,21.748,,,
63,06/04/21 09:36:56 AM,24.65,21.748,,,
64,06/04/21 09:36:57 AM,24.65,21.772,,,
65,06/04/21 09:36:58 AM,24.65,21.772,,,
66,06/04/21 09:36:59 AM,24.65,21.772,,,
67,06/04/21 09:37:00 AM,24.65,21.772,,,
68,06/04/21 09:37:01 AM,24.65,21.772,,,
69,06/04/21 09:37:02 AM,24.65,21.772,,,
70,06/04/21 09:37:03 AM,24.65,21.772,,,
71,06/04/21 09:37:04 AM,24.65,21.795,,,
72,06/04/21 09:37:05 AM,24.65,21.795,,,
73,06/04/21 09:37:06 AM,24.65,21.795,,,
74,06/04/21 09:37:07 AM,24.65,21.795,,,
75,06/04/21 09:37:08 AM,24.65,21.795,,,
76,06/04/21 09:37:09 AM,24.31,21.795,,,
77,06/04/21 09:37:10 AM,24.31,21.795,,,
78,06/04/21 09:37:11 AM,24.31,21.795,,,
79,06/04/21 09:37:12 AM,24.31,21.795,,,
80,06/04/21 09:37:13 AM,24.31,21.819,,,
81,06/04/21 09:37:14 AM,24.31,21.819,,,
82,06/04/21 09:37:15 AM,24.31,21.819,,,
83,06/04/21 09:37:16 AM,23.98,21.795,,,
84,06/04/21 09:37:17 AM,23.98,21.819,,,
85,06/04/21 09:37:18 AM,24.31,21.819,,,
86,06/04/21 09:37:19 AM,23.98,21.819,,,
87,06/04/21 09:37:20 AM,23.98,21.819,,,
88,06/04/21 09:37:21 AM,23.98,21.819,,,
89,06/04/21 09:37:22 AM,23.98,21.819,,,
90,06/04/21 09:37:23 AM,23.98,21.819,,,
91,06/04/21 09:37:24 AM,23.98,21.819,,,
92,06/04/21 09:37:25 AM,23.98,21.819,,,
93,06/04/21 09:37:26 AM,23.98,21.843,,,
94,06/04/21 09:37:27 AM,23.98,21.819,,,
95,06/04/21 09:37:28 AM,23.64,21.843,,,
96,06/04/21 09:37:29 AM,23.64,21.843,,,
97,06/04/21 09:37:30 AM,23.64,21.843,,,
98,06/04/21 09:37:31 AM,23.64,21.843,,,
99,06/04/21 09:37:32 AM,23.64,21.843,,,
100,06/04/21 09:37:33 AM,23.64,21.843,,,
101,06/04/21 09:37:34 AM,23.64,21.843,,,
102,06/04/21 09:37:35 AM,23.64,21.843,,,
103,06/04/21 09:37:36 AM,23.64,21.843,,,
104,06/04/21 09:37:37 AM,23.64,21.843,,,
105,06/04/21 09:37:38 AM,23.64,21.867,,,
106,06/04/21 09:37:39 AM,23.64,21.843,,,
107,06/04/21 09:37:40 AM,23.64,21.867,,,
108,06/04/21 09:37:41 AM,23.64,21.843,,,
109,06/04/21 09:37:42 AM,23.64,21.867,,,
110,06/04/21 09:37:43 AM,23.64,21.843,,,
111,06/04/21 09:37:44 AM,23.64,21.867,,,
112,06/04/21 09:37:45 AM,23.64,21.867,,,
113,06/04/21 09:37:46 AM,23.64,21.867,,,
114,06/04/21 09:37:47 AM,23.64,21.867,,,
115,06/04/21 09:37:48 AM,25.32,21.867,,,
116,06/04/21 09:37:49 AM,25.99,21.867,,,
117,06/04/21 09:37:50 AM,27.33,21.867,,,
118,06/04/21 09:37:51 AM,28.34,21.867,,,
119,06/04/21 09:37:52 AM,28.67,21.867,,,
120,06/04/21 09:37:53 AM,29.67,21.867,,,
121,06/04/21 09:37:54 AM,30.34,21.867,,,
122,06/04/21 09:37:55 AM,31.01,21.867,,,
123,06/04/21 09:37:56 AM,31.01,21.867,,,
124,06/04/21 09:37:57 AM,31.34,21.867,,,
125,06/04/21 09:37:58 AM,31.68,21.867,,,
126,06/04/21 09:37:59 AM,32.01,21.867,,,
