"Plot Title: flam.left"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 2247374, SEN S/N: 2247374, LBL: k)","Temp, °C (LGR S/N: 2247374, SEN S/N: 2247374, LBL: temp)","Host Connected (LGR S/N: 2247374)","Stopped (LGR S/N: 2247374)","End Of File (LGR S/N: 2247374)"
1,11/05/21 09:57:19 AM,23.98,23.088,,,
2,11/05/21 09:57:20 AM,23.64,23.088,,,
3,11/05/21 09:57:21 AM,23.64,23.088,,,
4,11/05/21 09:57:22 AM,23.64,23.112,,,
5,11/05/21 09:57:23 AM,23.64,23.112,,,
6,11/05/21 09:57:24 AM,23.64,23.136,,,
7,11/05/21 09:57:25 AM,23.64,23.136,,,
8,11/05/21 09:57:26 AM,23.64,23.160,,,
9,11/05/21 09:57:27 AM,23.64,23.184,,,
10,11/05/21 09:57:28 AM,23.64,23.184,,,
11,11/05/21 09:57:29 AM,23.64,23.184,,,
12,11/05/21 09:57:30 AM,23.64,23.208,,,
13,11/05/21 09:57:31 AM,23.64,23.208,,,
14,11/05/21 09:57:32 AM,23.64,23.232,,,
15,11/05/21 09:57:33 AM,23.64,23.232,,,
16,11/05/21 09:57:34 AM,23.64,23.256,,,
17,11/05/21 09:57:35 AM,23.64,23.256,,,
18,11/05/21 09:57:36 AM,23.64,23.256,,,
19,11/05/21 09:57:37 AM,23.64,23.280,,,
20,11/05/21 09:57:38 AM,23.64,23.280,,,
21,11/05/21 09:57:39 AM,23.64,23.280,,,
22,11/05/21 09:57:40 AM,23.64,23.304,,,
23,11/05/21 09:57:41 AM,23.64,23.304,,,
24,11/05/21 09:57:42 AM,23.64,23.328,,,
25,11/05/21 09:57:43 AM,23.64,23.328,,,
26,11/05/21 09:57:44 AM,23.64,23.328,,,
27,11/05/21 09:57:45 AM,23.64,23.328,,,
28,11/05/21 09:57:46 AM,23.64,23.352,,,
29,11/05/21 09:57:47 AM,23.64,23.352,,,
30,11/05/21 09:57:48 AM,23.64,23.352,,,
31,11/05/21 09:57:49 AM,23.64,23.376,,,
32,11/05/21 09:57:50 AM,23.64,23.376,,,
33,11/05/21 09:57:51 AM,23.64,23.376,,,
34,11/05/21 09:57:52 AM,23.64,23.376,,,
35,11/05/21 09:57:53 AM,23.64,23.376,,,
36,11/05/21 09:57:54 AM,23.64,23.400,,,
37,11/05/21 09:57:55 AM,23.64,23.400,,,
38,11/05/21 09:57:56 AM,23.64,23.400,,,
39,11/05/21 09:57:57 AM,23.64,23.424,,,
40,11/05/21 09:57:58 AM,23.64,23.424,,,
41,11/05/21 09:57:59 AM,23.64,23.424,,,
42,11/05/21 09:58:00 AM,23.64,23.424,,,
43,11/05/21 09:58:01 AM,23.64,23.424,,,
44,11/05/21 09:58:02 AM,23.64,23.424,,,
45,11/05/21 09:58:03 AM,23.64,23.448,,,
46,11/05/21 09:58:04 AM,23.64,23.448,,,
47,11/05/21 09:58:05 AM,23.64,23.448,,,
48,11/05/21 09:58:06 AM,23.64,23.472,,,
49,11/05/21 09:58:07 AM,23.64,23.472,,,
50,11/05/21 09:58:08 AM,23.64,23.472,,,
51,11/05/21 09:58:09 AM,23.64,23.472,,,
52,11/05/21 09:58:10 AM,23.64,23.472,,,
53,11/05/21 09:58:11 AM,23.64,23.472,,,
54,11/05/21 09:58:12 AM,23.64,23.497,,,
55,11/05/21 09:58:13 AM,23.64,23.497,,,
56,11/05/21 09:58:14 AM,23.64,23.497,,,
57,11/05/21 09:58:15 AM,23.64,23.497,,,
58,11/05/21 09:58:16 AM,23.64,23.497,,,
59,11/05/21 09:58:17 AM,23.64,23.497,,,
60,11/05/21 09:58:18 AM,23.64,23.497,,,
61,11/05/21 09:58:19 AM,23.64,23.521,,,
62,11/05/21 09:58:20 AM,23.64,23.521,,,
63,11/05/21 09:58:21 AM,23.64,23.521,,,
64,11/05/21 09:58:22 AM,23.64,23.521,,,
65,11/05/21 09:58:23 AM,23.64,23.521,,,
66,11/05/21 09:58:24 AM,23.64,23.545,,,
67,11/05/21 09:58:25 AM,23.64,23.545,,,
68,11/05/21 09:58:26 AM,23.64,23.545,,,
69,11/05/21 09:58:27 AM,23.64,23.545,,,
70,11/05/21 09:58:28 AM,23.64,23.545,,,
71,11/05/21 09:58:29 AM,23.64,23.545,,,
72,11/05/21 09:58:30 AM,23.64,23.545,,,
73,11/05/21 09:58:31 AM,23.64,23.545,,,
74,11/05/21 09:58:32 AM,23.64,23.569,,,
75,11/05/21 09:58:33 AM,23.64,23.569,,,
76,11/05/21 09:58:34 AM,23.64,23.569,,,
77,11/05/21 09:58:35 AM,23.64,23.569,,,
78,11/05/21 09:58:36 AM,23.64,23.569,,,
79,11/05/21 09:58:37 AM,23.64,23.569,,,
80,11/05/21 09:58:38 AM,23.64,23.569,,,
81,11/05/21 09:58:39 AM,23.64,23.593,,,
82,11/05/21 09:58:40 AM,23.64,23.593,,,
83,11/05/21 09:58:41 AM,23.64,23.593,,,
84,11/05/21 09:58:42 AM,23.64,23.593,,,
85,11/05/21 09:58:43 AM,23.64,23.593,,,
86,11/05/21 09:58:44 AM,23.64,23.593,,,
87,11/05/21 09:58:45 AM,23.64,23.617,,,
88,11/05/21 09:58:46 AM,23.64,23.617,,,
89,11/05/21 09:58:47 AM,23.64,23.617,,,
90,11/05/21 09:58:48 AM,23.64,23.617,,,
91,11/05/21 09:58:49 AM,23.64,23.617,,,
92,11/05/21 09:58:50 AM,23.64,23.617,,,
93,11/05/21 09:58:51 AM,23.64,23.617,,,
94,11/05/21 09:58:52 AM,23.64,23.641,,,
95,11/05/21 09:58:53 AM,23.64,23.641,,,
96,11/05/21 09:58:54 AM,23.64,23.641,,,
97,11/05/21 09:58:55 AM,23.64,23.641,,,
98,11/05/21 09:58:56 AM,23.64,23.641,,,
99,11/05/21 09:58:57 AM,23.64,23.641,,,
100,11/05/21 09:58:58 AM,23.64,23.641,,,
101,11/05/21 09:58:59 AM,23.64,23.665,,,
102,11/05/21 09:59:00 AM,23.64,23.665,,,
103,11/05/21 09:59:01 AM,23.64,23.665,,,
104,11/05/21 09:59:02 AM,23.64,23.665,,,
105,11/05/21 09:59:03 AM,23.64,23.665,,,
106,11/05/21 09:59:04 AM,23.64,23.665,,,
107,11/05/21 09:59:05 AM,23.64,23.665,,,
108,11/05/21 09:59:06 AM,23.64,23.665,,,
109,11/05/21 09:59:07 AM,23.64,23.689,,,
110,11/05/21 09:59:08 AM,23.64,23.665,,,
111,11/05/21 09:59:09 AM,23.64,23.689,,,
112,11/05/21 09:59:10 AM,23.64,23.689,,,
113,11/05/21 09:59:11 AM,23.64,23.689,,,
114,11/05/21 09:59:12 AM,23.64,23.689,,,
115,11/05/21 09:59:13 AM,23.64,23.689,,,
116,11/05/21 09:59:14 AM,23.64,23.689,,,
117,11/05/21 09:59:15 AM,23.64,23.713,,,
118,11/05/21 09:59:16 AM,23.64,23.689,,,
119,11/05/21 09:59:17 AM,23.64,23.713,,,
120,11/05/21 09:59:18 AM,23.64,23.713,,,
121,11/05/21 09:59:19 AM,23.64,23.713,,,
122,11/05/21 09:59:20 AM,23.64,23.713,,,
123,11/05/21 09:59:21 AM,23.64,23.713,,,
124,11/05/21 09:59:22 AM,23.64,23.713,,,
125,11/05/21 09:59:23 AM,23.64,23.713,,,
126,11/05/21 09:59:24 AM,23.64,23.737,,,
127,11/05/21 09:59:25 AM,23.64,23.737,,,
128,11/05/21 09:59:26 AM,23.64,23.737,,,
129,11/05/21 09:59:27 AM,23.64,23.737,,,
130,11/05/21 09:59:28 AM,23.64,23.737,,,
131,11/05/21 09:59:29 AM,23.64,23.737,,,
132,11/05/21 09:59:30 AM,23.64,23.737,,,
133,11/05/21 09:59:31 AM,23.64,23.737,,,
134,11/05/21 09:59:32 AM,23.64,23.737,,,
135,11/05/21 09:59:33 AM,23.64,23.737,,,
136,11/05/21 09:59:34 AM,23.64,23.737,,,
137,11/05/21 09:59:35 AM,23.64,23.737,,,
138,11/05/21 09:59:36 AM,23.64,23.761,,,
139,11/05/21 09:59:37 AM,23.64,23.761,,,
140,11/05/21 09:59:38 AM,23.64,23.761,,,
141,11/05/21 09:59:39 AM,23.64,23.761,,,
142,11/05/21 09:59:40 AM,23.64,23.761,,,
143,11/05/21 09:59:41 AM,23.64,23.761,,,
144,11/05/21 09:59:42 AM,23.64,23.761,,,
145,11/05/21 09:59:43 AM,23.64,23.761,,,
146,11/05/21 09:59:44 AM,23.64,23.761,,,
147,11/05/21 09:59:45 AM,23.64,23.761,,,
148,11/05/21 09:59:46 AM,23.64,23.761,,,
149,11/05/21 09:59:47 AM,23.64,23.761,,,
150,11/05/21 09:59:48 AM,23.64,23.785,,,
151,11/05/21 09:59:49 AM,23.64,23.785,,,
152,11/05/21 09:59:50 AM,23.64,23.785,,,
153,11/05/21 09:59:51 AM,23.64,23.785,,,
154,11/05/21 09:59:52 AM,23.64,23.785,,,
155,11/05/21 09:59:53 AM,23.64,23.785,,,
156,11/05/21 09:59:54 AM,23.64,23.785,,,
157,11/05/21 09:59:55 AM,23.64,23.785,,,
158,11/05/21 09:59:56 AM,23.64,23.785,,,
159,11/05/21 09:59:57 AM,23.64,23.785,,,
160,11/05/21 09:59:58 AM,23.64,23.785,,,
161,11/05/21 09:59:59 AM,23.64,23.785,,,
162,11/05/21 10:00:00 AM,23.64,23.785,,,
163,11/05/21 10:00:01 AM,23.64,23.785,,,
164,11/05/21 10:00:02 AM,23.64,23.785,,,
165,11/05/21 10:00:03 AM,23.64,23.785,,,
166,11/05/21 10:00:04 AM,23.64,23.785,,,
167,11/05/21 10:00:05 AM,23.64,23.809,,,
168,11/05/21 10:00:06 AM,23.64,23.785,,,
169,11/05/21 10:00:07 AM,23.64,23.785,,,
170,11/05/21 10:00:08 AM,23.64,23.785,,,
171,11/05/21 10:00:09 AM,23.64,23.809,,,
172,11/05/21 10:00:10 AM,23.64,23.785,,,
173,11/05/21 10:00:11 AM,23.64,23.809,,,
174,11/05/21 10:00:12 AM,23.64,23.809,,,
175,11/05/21 10:00:13 AM,23.64,23.809,,,
176,11/05/21 10:00:14 AM,23.64,23.809,,,
177,11/05/21 10:00:15 AM,23.64,23.809,,,
178,11/05/21 10:00:16 AM,23.64,23.809,,,
179,11/05/21 10:00:17 AM,23.64,23.809,,,
180,11/05/21 10:00:18 AM,23.64,23.809,,,
181,11/05/21 10:00:19 AM,23.64,23.809,,,
182,11/05/21 10:00:20 AM,23.64,23.809,,,
183,11/05/21 10:00:21 AM,23.98,23.809,,,
184,11/05/21 10:00:22 AM,23.64,23.809,,,
185,11/05/21 10:00:23 AM,23.64,23.809,,,
186,11/05/21 10:00:24 AM,23.64,23.809,,,
187,11/05/21 10:00:25 AM,23.98,23.809,,,
188,11/05/21 10:00:26 AM,23.64,23.809,,,
189,11/05/21 10:00:27 AM,23.64,23.809,,,
190,11/05/21 10:00:28 AM,23.98,23.809,,,
191,11/05/21 10:00:29 AM,23.98,23.809,,,
192,11/05/21 10:00:30 AM,23.98,23.809,,,
193,11/05/21 10:00:31 AM,23.64,23.809,,,
194,11/05/21 10:00:32 AM,23.64,23.809,,,
195,11/05/21 10:00:33 AM,23.98,23.809,,,
196,11/05/21 10:00:34 AM,23.98,23.809,,,
197,11/05/21 10:00:35 AM,23.98,23.809,,,
198,11/05/21 10:00:36 AM,23.98,23.809,,,
199,11/05/21 10:00:37 AM,23.98,23.809,,,
200,11/05/21 10:00:38 AM,23.98,23.833,,,
201,11/05/21 10:00:39 AM,23.98,23.833,,,
202,11/05/21 10:00:40 AM,23.98,23.809,,,
203,11/05/21 10:00:41 AM,23.98,23.809,,,
204,11/05/21 10:00:42 AM,23.98,23.809,,,
205,11/05/21 10:00:43 AM,23.98,23.833,,,
206,11/05/21 10:00:44 AM,23.98,23.809,,,
207,11/05/21 10:00:45 AM,23.98,23.833,,,
208,11/05/21 10:00:46 AM,23.98,23.833,,,
209,11/05/21 10:00:47 AM,23.98,23.833,,,
210,11/05/21 10:00:48 AM,23.98,23.809,,,
211,11/05/21 10:00:49 AM,23.98,23.833,,,
212,11/05/21 10:00:50 AM,23.98,23.809,,,
213,11/05/21 10:00:51 AM,23.98,23.809,,,
214,11/05/21 10:00:52 AM,23.98,23.833,,,
215,11/05/21 10:00:53 AM,23.98,23.809,,,
216,11/05/21 10:00:54 AM,23.98,23.833,,,
217,11/05/21 10:00:55 AM,23.98,23.833,,,
218,11/05/21 10:00:56 AM,23.98,23.833,,,
219,11/05/21 10:00:57 AM,23.98,23.833,,,
220,11/05/21 10:00:58 AM,23.98,23.833,,,
221,11/05/21 10:00:59 AM,23.98,23.833,,,
222,11/05/21 10:01:00 AM,23.98,23.809,,,
223,11/05/21 10:01:01 AM,23.98,23.833,,,
224,11/05/21 10:01:02 AM,23.98,23.833,,,
225,11/05/21 10:01:03 AM,23.98,23.833,,,
226,11/05/21 10:01:04 AM,23.98,23.833,,,
227,11/05/21 10:01:05 AM,23.98,23.809,,,
228,11/05/21 10:01:06 AM,23.98,23.833,,,
229,11/05/21 10:01:07 AM,23.98,23.833,,,
230,11/05/21 10:01:08 AM,23.98,23.833,,,
231,11/05/21 10:01:09 AM,23.98,23.809,,,
232,11/05/21 10:01:10 AM,23.98,23.809,,,
233,11/05/21 10:01:11 AM,23.98,23.809,,,
234,11/05/21 10:01:12 AM,23.98,23.809,,,
235,11/05/21 10:01:13 AM,23.98,23.809,,,
236,11/05/21 10:01:14 AM,23.98,23.809,,,
237,11/05/21 10:01:15 AM,23.98,23.833,,,
