"Plot Title: flam.mid"
"#","Date Time, GMT-05:00","K-Type, °F (LGR S/N: 1282988, SEN S/N: 1282988, LBL: k)","Temp, °F (LGR S/N: 1282988, SEN S/N: 1282988, LBL: temp)","Host Connected (LGR S/N: 1282988)","Stopped (LGR S/N: 1282988)","End Of File (LGR S/N: 1282988)"
1,11/05/21 09:58:37 AM,73.94,71.146,,,
2,11/05/21 09:58:38 AM,73.94,71.146,,,
3,11/05/21 09:58:39 AM,73.94,71.190,,,
4,11/05/21 09:58:40 AM,73.94,71.190,,,
5,11/05/21 09:58:41 AM,73.94,71.190,,,
6,11/05/21 09:58:42 AM,73.94,71.190,,,
7,11/05/21 09:58:43 AM,73.94,71.231,,,
8,11/05/21 09:58:44 AM,73.94,71.231,,,
9,11/05/21 09:58:45 AM,73.94,71.231,,,
10,11/05/21 09:58:46 AM,73.94,71.274,,,
11,11/05/21 09:58:47 AM,73.94,71.231,,,
12,11/05/21 09:58:48 AM,74.55,71.274,,,
13,11/05/21 09:58:49 AM,73.94,71.274,,,
14,11/05/21 09:58:50 AM,73.94,71.317,,,
15,11/05/21 09:58:51 AM,73.94,71.361,,,
16,11/05/21 09:58:52 AM,73.94,71.361,,,
17,11/05/21 09:58:53 AM,73.94,71.361,,,
18,11/05/21 09:58:54 AM,73.94,71.361,,,
19,11/05/21 09:58:55 AM,73.94,71.361,,,
20,11/05/21 09:58:56 AM,74.55,71.404,,,
21,11/05/21 09:58:57 AM,73.94,71.447,,,
22,11/05/21 09:58:58 AM,74.55,71.447,,,
23,11/05/21 09:58:59 AM,73.94,71.447,,,
24,11/05/21 09:59:00 AM,73.94,71.490,,,
25,11/05/21 09:59:01 AM,73.94,71.490,,,
26,11/05/21 09:59:02 AM,74.55,71.533,,,
27,11/05/21 09:59:03 AM,73.94,71.533,,,
28,11/05/21 09:59:04 AM,74.55,71.533,,,
29,11/05/21 09:59:05 AM,74.55,71.577,,,
30,11/05/21 09:59:06 AM,74.55,71.577,,,
31,11/05/21 09:59:07 AM,74.55,71.577,,,
