"Plot Title: flam.right"
"#","Date Time, GMT-05:00","K-Type, °F (LGR S/N: 1253388, SEN S/N: 1253388, LBL: k)","Temp, °F (LGR S/N: 1253388, SEN S/N: 1253388, LBL: temp)","Host Connected (LGR S/N: 1253388)","Stopped (LGR S/N: 1253388)","End Of File (LGR S/N: 1253388)"
1,11/05/21 09:58:03 AM,74.55,71.577,,,
2,11/05/21 09:58:04 AM,74.55,71.577,,,
3,11/05/21 09:58:05 AM,74.55,71.577,,,
4,11/05/21 09:58:06 AM,74.55,71.577,,,
5,11/05/21 09:58:07 AM,74.55,71.620,,,
6,11/05/21 09:58:08 AM,74.55,71.620,,,
7,11/05/21 09:58:09 AM,74.55,71.620,,,
8,11/05/21 09:58:10 AM,74.55,71.661,,,
9,11/05/21 09:58:11 AM,74.55,71.661,,,
10,11/05/21 09:58:12 AM,74.55,71.704,,,
11,11/05/21 09:58:13 AM,73.94,71.704,,,
12,11/05/21 09:58:14 AM,74.55,71.748,,,
13,11/05/21 09:58:15 AM,74.55,71.748,,,
14,11/05/21 09:58:16 AM,74.55,71.791,,,
15,11/05/21 09:58:17 AM,74.55,71.791,,,
16,11/05/21 09:58:18 AM,74.55,71.791,,,
17,11/05/21 09:58:19 AM,74.55,71.834,,,
18,11/05/21 09:58:20 AM,74.55,71.877,,,
19,11/05/21 09:58:21 AM,74.55,71.877,,,
20,11/05/21 09:58:22 AM,74.55,71.920,,,
21,11/05/21 09:58:23 AM,74.55,71.920,,,
22,11/05/21 09:58:24 AM,74.55,71.920,,,
23,11/05/21 09:58:25 AM,74.55,71.964,,,
24,11/05/21 09:58:26 AM,74.55,72.007,,,
25,11/05/21 09:58:27 AM,74.55,72.007,,,
26,11/05/21 09:58:28 AM,74.55,72.050,,,
27,11/05/21 09:58:29 AM,74.55,72.050,,,
28,11/05/21 09:58:30 AM,74.55,72.093,,,
29,11/05/21 09:58:31 AM,74.55,72.093,,,
30,11/05/21 09:58:32 AM,74.55,72.093,,,
31,11/05/21 09:58:33 AM,74.55,72.136,,,
32,11/05/21 09:58:34 AM,74.55,72.136,,,
33,11/05/21 09:58:35 AM,74.55,72.178,,,
34,11/05/21 09:58:36 AM,74.55,72.178,,,
35,11/05/21 09:58:37 AM,74.55,72.178,,,
36,11/05/21 09:58:38 AM,74.55,72.221,,,
37,11/05/21 09:58:39 AM,74.55,72.221,,,
38,11/05/21 09:58:40 AM,74.55,72.264,,,
39,11/05/21 09:58:41 AM,74.55,72.264,,,
40,11/05/21 09:58:42 AM,74.55,72.264,,,
41,11/05/21 09:58:43 AM,74.55,72.264,,,
42,11/05/21 09:58:44 AM,74.55,72.307,,,
43,11/05/21 09:58:45 AM,74.55,72.307,,,
44,11/05/21 09:58:46 AM,74.55,72.307,,,
45,11/05/21 09:58:47 AM,74.55,72.351,,,
46,11/05/21 09:58:48 AM,74.55,72.351,,,
47,11/05/21 09:58:49 AM,74.55,72.351,,,
48,11/05/21 09:58:50 AM,74.55,72.351,,,
49,11/05/21 09:58:51 AM,74.55,72.394,,,
50,11/05/21 09:58:52 AM,74.55,72.394,,,
51,11/05/21 09:58:53 AM,74.55,72.394,,,
52,11/05/21 09:58:54 AM,74.55,72.437,,,
53,11/05/21 09:58:55 AM,74.55,72.437,,,
54,11/05/21 09:58:56 AM,74.55,72.437,,,
55,11/05/21 09:58:57 AM,74.55,72.437,,,
56,11/05/21 09:58:58 AM,74.55,72.437,,,
57,11/05/21 09:58:59 AM,74.55,72.437,,,
58,11/05/21 09:59:00 AM,74.55,72.480,,,
59,11/05/21 09:59:01 AM,74.55,72.480,,,
60,11/05/21 09:59:02 AM,74.55,72.523,,,
61,11/05/21 09:59:03 AM,74.55,72.523,,,
62,11/05/21 09:59:04 AM,74.55,72.523,,,
63,11/05/21 09:59:05 AM,74.55,72.523,,,
