#,Date-Time (CST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Host Connected,End of File
1,06/22/2021 15:02:03,23.80,50.60,12.95,,
2,06/22/2021 15:03:03,23.85,50.28,12.90,,
3,06/22/2021 15:04:03,23.82,50.46,12.93,,
4,06/22/2021 15:05:03,23.84,51.05,13.13,,
5,06/22/2021 15:06:03,23.85,52.64,13.61,,
6,06/22/2021 15:06:34,,,,Logged,
7,06/22/2021 15:07:03,23.88,50.67,13.05,,
8,06/22/2021 15:08:03,23.96,51.68,13.42,,
9,06/22/2021 15:08:23,,,,Logged,
10,06/22/2021 15:09:03,24.04,50.18,13.05,,
11,06/22/2021 15:10:03,24.10,50.03,13.05,,
12,06/22/2021 15:11:03,24.45,63.55,17.11,,
13,06/22/2021 15:12:03,25.25,67.75,18.89,,
14,06/22/2021 15:13:03,25.45,48.89,13.94,,
15,06/22/2021 15:13:15,,,,Logged,
16,06/22/2021 15:14:03,25.48,49.36,14.12,,
17,06/22/2021 15:15:03,25.38,47.54,13.45,,
18,06/22/2021 15:16:03,25.27,47.54,13.34,,
19,06/22/2021 15:17:03,25.15,47.62,13.26,,
20,06/22/2021 15:17:23,,,,Logged,
21,06/22/2021 15:18:03,25.05,47.72,13.21,,
22,06/22/2021 15:19:03,24.97,47.81,13.15,,
23,06/22/2021 15:20:03,24.90,48.05,13.17,,
24,06/22/2021 15:21:03,24.79,49.00,13.37,,
25,06/22/2021 15:21:35,,,,Logged,
26,06/22/2021 15:22:03,24.75,48.17,13.07,,
27,06/22/2021 15:23:03,24.72,48.27,13.08,,
28,06/22/2021 15:24:03,24.71,48.82,13.24,,
29,06/22/2021 15:25:03,24.70,48.22,13.04,,
30,06/22/2021 15:25:52,,,,Logged,
31,06/22/2021 15:26:03,24.87,56.52,15.66,,
32,06/22/2021 15:27:03,24.86,48.21,13.18,,
33,06/22/2021 15:28:03,24.74,48.32,13.11,,
34,06/22/2021 15:29:03,24.58,48.41,12.99,,
35,06/22/2021 15:30:03,24.42,49.01,13.03,,
36,06/22/2021 15:30:27,,,,Logged,
37,06/22/2021 15:31:03,24.28,49.05,12.92,,
38,06/22/2021 15:31:40,,,,Logged,
39,06/22/2021 15:32:03,24.14,49.40,12.90,,
40,06/22/2021 15:33:03,23.94,49.92,12.87,,
41,06/22/2021 15:34:03,23.80,50.30,12.86,,
42,06/22/2021 15:35:03,23.65,50.61,12.82,,
43,06/22/2021 15:36:03,23.60,51.01,12.90,,
44,06/22/2021 15:37:03,23.46,51.15,12.81,,
45,06/22/2021 15:38:03,23.40,51.41,12.83,,
46,06/22/2021 15:39:03,23.31,51.68,12.83,,
47,06/22/2021 15:40:03,23.24,51.93,12.84,,
48,06/22/2021 15:41:03,23.15,51.96,12.76,,
49,06/22/2021 15:42:03,23.10,52.10,12.76,,
50,06/22/2021 15:43:03,23.02,52.33,12.75,,
51,06/22/2021 15:44:03,22.95,52.49,12.73,,
52,06/22/2021 15:45:03,22.88,52.66,12.72,,
53,06/22/2021 15:46:03,22.84,52.85,12.74,,
54,06/22/2021 15:47:03,22.79,53.04,12.74,,
55,06/22/2021 15:48:03,22.75,52.92,12.67,,
56,06/22/2021 15:49:03,22.71,53.07,12.68,,
57,06/22/2021 15:50:03,22.69,53.16,12.69,,
58,06/22/2021 15:51:03,22.65,53.34,12.70,,
59,06/22/2021 15:52:03,22.58,53.51,12.69,,
60,06/22/2021 15:53:03,22.55,53.54,12.67,,
61,06/22/2021 15:54:03,22.53,53.58,12.66,,
62,06/22/2021 15:55:03,22.53,53.69,12.69,,
63,06/22/2021 15:56:03,22.49,53.83,12.69,,
64,06/22/2021 15:57:03,22.46,53.83,12.66,,
65,06/22/2021 15:58:03,22.42,53.89,12.65,,
66,06/22/2021 15:59:03,22.40,53.96,12.64,,
67,06/22/2021 16:00:03,22.38,53.79,12.58,,
68,06/22/2021 16:01:03,22.37,53.83,12.58,,
69,06/22/2021 16:02:03,22.35,53.99,12.60,,
70,06/22/2021 16:03:03,22.33,54.01,12.59,,
71,06/22/2021 16:04:03,22.29,54.10,12.59,,
72,06/22/2021 16:05:03,22.29,54.13,12.60,,
73,06/22/2021 16:06:03,22.24,54.22,12.57,,
74,06/22/2021 16:07:03,22.26,54.33,12.62,,
75,06/22/2021 16:08:03,22.25,54.26,12.59,,
76,06/22/2021 16:09:03,22.22,54.37,12.59,,
77,06/22/2021 16:10:03,22.20,54.24,12.54,,
78,06/22/2021 16:11:03,22.20,54.26,12.54,,
79,06/22/2021 16:12:03,22.19,54.19,12.51,,
80,06/22/2021 16:13:03,22.17,54.22,12.50,,
81,06/22/2021 16:14:03,22.14,54.37,12.52,,
82,06/22/2021 16:15:03,22.14,54.45,12.54,,
83,06/22/2021 16:16:03,22.12,54.55,12.55,,
84,06/22/2021 16:17:03,22.13,54.50,12.55,,
85,06/22/2021 16:18:03,22.11,54.56,12.55,,
86,06/22/2021 16:19:03,22.12,54.65,12.58,,
87,06/22/2021 16:20:03,22.14,54.68,12.61,,
88,06/22/2021 16:21:03,22.11,54.70,12.58,,
89,06/22/2021 16:22:03,22.10,54.60,12.55,,
90,06/22/2021 16:23:03,22.12,54.57,12.56,,
91,06/22/2021 16:24:03,22.11,54.61,12.56,,
92,06/22/2021 16:25:03,22.10,54.61,12.55,,
93,06/22/2021 16:26:03,22.08,54.56,12.52,,
94,06/22/2021 16:27:03,22.07,54.70,12.55,,
95,06/22/2021 16:28:03,22.09,54.66,12.55,,
96,06/22/2021 16:29:03,22.08,54.78,12.58,,
97,06/22/2021 16:30:03,22.07,54.69,12.54,,
98,06/22/2021 16:31:03,22.08,54.77,12.57,,
99,06/22/2021 16:32:03,22.07,54.78,12.57,,
100,06/22/2021 16:33:03,22.05,54.60,12.50,,
101,06/22/2021 16:34:03,22.07,54.63,12.53,,
102,06/22/2021 16:35:03,22.04,54.70,12.52,,
103,06/22/2021 16:36:03,22.04,54.78,12.54,,
104,06/22/2021 16:37:03,22.08,54.80,12.58,,
105,06/22/2021 16:38:03,22.06,54.71,12.54,,
106,06/22/2021 16:39:03,22.07,54.87,12.59,,
107,06/22/2021 16:40:03,22.06,54.85,12.58,,
108,06/22/2021 16:41:03,22.07,54.79,12.57,,
109,06/22/2021 16:42:03,22.07,54.78,12.57,,
110,06/22/2021 16:43:03,22.07,54.80,12.57,,
111,06/22/2021 16:44:03,22.07,54.87,12.59,,
112,06/22/2021 16:45:03,22.06,54.86,12.58,,
113,06/22/2021 16:46:03,22.07,54.84,12.58,,
114,06/22/2021 16:47:03,22.05,54.94,12.59,,
115,06/22/2021 16:48:03,22.05,54.87,12.57,,
116,06/22/2021 16:49:03,22.04,54.88,12.56,,
117,06/22/2021 16:50:03,22.07,54.87,12.59,,
118,06/22/2021 16:51:03,22.10,54.82,12.61,,
