sample_id,species_id,fresh_leaf_weight_gm,fresh_stem_weight_gm,dry_leaf_weight_gm,dry_stem_weight_gm,bottom_diameter_cm,top_diameter_cm,maximum_diameter,distance_from_bottom_cm,type
ED45,1022,369.9,99.8,215.4,59.8,3.6,15.8,,,truncated_cone
ED46,1036,73.5,100.8,37.8,53.8,0.7,11.5,30,43,two_right_cone
ED47,2010,7.3,64,2.4,42.1,0.4,22.3,,,truncated_cone
ED48,2010,14.7,68,4.6,41.2,0.5,25.4,,,truncated_cone
ED49,2010,19.1,52,6.4,30.2,0.4,19.2,,,truncated_cone
ED50,2010,5.7,32,1.6,19,0.5,24.1,,,truncated_cone
ED51,2010,24.7,90.4,7.7,53.3,0.55,22.2,,,truncated_cone
ED52,2010,14.2,55.1,5.1,34.5,0.6,19.6,,,truncated_cone
ED53,1021,39.9,54.9,20.4,34.9,0.7,9.8,19.5,39,two_right_cone
ED54,1036,24.6,71.6,12.6,41.7,0.65,18.7,,,truncated_cone
ED55,1021,48.7,121.4,25.3,76.9,1.2,21.1,,,truncated_cone
UV01,1022,155.3,62.1,94.5,35.1,0.75,0.8,20.6,45,two_right_cone
UV02,1021,184.5,126.2,84.9,77.3,0.9,29.2,,,truncated_cone
UV03,1036,75.3,109.3,40.8,65.6,0.9,31,,,truncated_cone
UV04,1021,92.9,125.9,45.2,80.6,0.9,3.8,,,truncated_cone
UV05,1036,61,115.5,32.2,70.8,0.9,24.9,,,truncated_cone
UV06,1000,31.9,48.2,11.9,26.3,0.4,27.2,,,truncated_cone
UV07,2010,24.5,39.4,8.6,22.9,0.4,10.8,,,truncated_cone
UV08,1000,32.7,92.5,14.4,51.4,0.4,1.3,30.3,27,two_right_cone
BD20,1022,253.2,69.8,140,38.1,1,14,,,truncated_cone
BD21,1000,44.9,171.2,23,106.4,0.95,14.7,,,truncated_cone
BD22,1002,9,15.2,5.4,9.5,0.25,9.2,,,truncated_cone
BD23,2022,26.2,104.2,13.6,58.9,1,27.5,,,truncated_cone
KD01,2038,42.3,51.4,16.7,28.4,0.35,2.5,,,truncated_cone
KD02,3000,19.1,34.9,9.9,19.8,0.55,22.2,,,truncated_cone
KD03,3000,49.5,81.5,21.8,41.9,0.5,25.5,,,truncated_cone
KD04,2005,16.3,10.8,8.1,5.8,0.1,10,,,truncated_cone
KD05,1085,53.9,124.1,23.9,61.8,0.8,0.1,20.3,34,two_right_cone
KD06,1000,51.3,81.5,24.8,47.1,0.4,15,,,truncated_cone
KD07,1022,348.2,126.5,192.6,71.3,1.15,0.3,22,18,two_right_cone
KD08,1002,19.1,81.8,12.4,55.8,0.8,17.5,,,truncated_cone
KD09,2022,51.1,131.5,26.9,87,0.6,18,,,truncated_cone
KD10,1113,57.5,54,27.7,33.9,1,35,,,truncated_cone
KD11,2006,21.1,104.6,11.7,73,0.9,30,,,truncated_cone
