"Plot Title: flam.right"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 1253388, SEN S/N: 1253388, LBL: k)","Temp, °C (LGR S/N: 1253388, SEN S/N: 1253388, LBL: temp)","Host Connected (LGR S/N: 1253388)","Stopped (LGR S/N: 1253388)","End Of File (LGR S/N: 1253388)"
1,06/30/22 09:20:48 AM,26.66,26.524,,,
2,06/30/22 09:20:49 AM,26.66,26.524,,,
3,06/30/22 09:20:50 AM,26.66,26.524,,,
4,06/30/22 09:20:51 AM,26.66,26.524,,,
5,06/30/22 09:20:52 AM,26.66,26.549,,,
6,06/30/22 09:20:53 AM,26.66,26.549,,,
7,06/30/22 09:20:54 AM,27.00,26.549,,,
8,06/30/22 09:20:55 AM,26.66,26.549,,,
9,06/30/22 09:20:56 AM,27.00,26.573,,,
10,06/30/22 09:20:57 AM,26.66,26.573,,,
11,06/30/22 09:20:58 AM,27.00,26.573,,,
12,06/30/22 09:20:59 AM,26.66,26.573,,,
13,06/30/22 09:21:00 AM,26.66,26.573,,,
14,06/30/22 09:21:01 AM,26.66,26.598,,,
15,06/30/22 09:21:02 AM,26.66,26.598,,,
16,06/30/22 09:21:03 AM,26.66,26.598,,,
17,06/30/22 09:21:04 AM,27.00,26.598,,,
18,06/30/22 09:21:05 AM,27.00,26.622,,,
19,06/30/22 09:21:06 AM,27.00,26.622,,,
20,06/30/22 09:21:07 AM,27.00,26.622,,,
21,06/30/22 09:21:08 AM,27.00,26.622,,,
22,06/30/22 09:21:09 AM,27.00,26.622,,,
23,06/30/22 09:21:10 AM,27.00,26.646,,,
24,06/30/22 09:21:11 AM,27.00,26.646,,,
25,06/30/22 09:21:12 AM,27.00,26.646,,,
26,06/30/22 09:21:13 AM,27.00,26.646,,,
27,06/30/22 09:21:14 AM,26.66,26.646,,,
28,06/30/22 09:21:15 AM,27.00,26.646,,,
29,06/30/22 09:21:16 AM,27.00,26.671,,,
30,06/30/22 09:21:17 AM,27.00,26.671,,,
31,06/30/22 09:21:18 AM,27.00,26.671,,,
32,06/30/22 09:21:19 AM,27.00,26.671,,,
