"Plot Title: flam.left"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 2247374, SEN S/N: 2247374, LBL: k)","Temp, °C (LGR S/N: 2247374, SEN S/N: 2247374, LBL: temp)","Host Connected (LGR S/N: 2247374)","Stopped (LGR S/N: 2247374)","End Of File (LGR S/N: 2247374)"
1,07/12/22 11:05:33 AM,31.34,31.382,,,
2,07/12/22 11:05:34 AM,31.34,31.382,,,
3,07/12/22 11:05:35 AM,31.34,31.382,,,
4,07/12/22 11:05:36 AM,31.34,31.382,,,
5,07/12/22 11:05:37 AM,31.34,31.382,,,
6,07/12/22 11:05:38 AM,31.68,31.382,,,
7,07/12/22 11:05:39 AM,31.34,31.382,,,
8,07/12/22 11:05:40 AM,31.68,31.408,,,
9,07/12/22 11:05:41 AM,31.68,31.408,,,
10,07/12/22 11:05:42 AM,31.34,31.408,,,
11,07/12/22 11:05:43 AM,31.68,31.408,,,
12,07/12/22 11:05:44 AM,31.34,31.408,,,
13,07/12/22 11:05:45 AM,31.34,31.408,,,
14,07/12/22 11:05:46 AM,31.34,31.433,,,
15,07/12/22 11:05:47 AM,31.34,31.433,,,
16,07/12/22 11:05:48 AM,31.68,31.433,,,
17,07/12/22 11:05:49 AM,31.34,31.433,,,
18,07/12/22 11:05:50 AM,31.34,31.433,,,
19,07/12/22 11:05:51 AM,31.34,31.433,,,
20,07/12/22 11:05:52 AM,31.68,31.459,,,
21,07/12/22 11:05:53 AM,31.68,31.459,,,
22,07/12/22 11:05:54 AM,31.68,31.459,,,
23,07/12/22 11:05:55 AM,31.34,31.459,,,
24,07/12/22 11:05:56 AM,31.68,31.459,,,
25,07/12/22 11:05:57 AM,31.68,31.459,,,
26,07/12/22 11:05:58 AM,31.68,31.459,,,
27,07/12/22 11:05:59 AM,31.68,31.484,,,
28,07/12/22 11:06:00 AM,31.34,31.459,,,
29,07/12/22 11:06:01 AM,31.68,31.484,,,
30,07/12/22 11:06:02 AM,31.34,31.484,,,
31,07/12/22 11:06:03 AM,31.68,31.484,,,
32,07/12/22 11:06:04 AM,31.68,31.484,,,
33,07/12/22 11:06:05 AM,31.68,31.484,,,
34,07/12/22 11:06:06 AM,31.68,31.484,,,
35,07/12/22 11:06:07 AM,31.68,31.484,,,
36,07/12/22 11:06:08 AM,31.34,31.484,,,
37,07/12/22 11:06:09 AM,31.34,31.484,,,
38,07/12/22 11:06:10 AM,31.34,31.484,,,
39,07/12/22 11:06:11 AM,31.34,31.484,,,
40,07/12/22 11:06:12 AM,31.34,31.484,,,
41,07/12/22 11:06:13 AM,31.34,31.484,,,
42,07/12/22 11:06:14 AM,31.34,31.484,,,
43,07/12/22 11:06:15 AM,31.34,31.484,,,
44,07/12/22 11:06:16 AM,31.68,31.484,,,
45,07/12/22 11:06:17 AM,31.68,31.484,,,
46,07/12/22 11:06:18 AM,31.34,31.484,,,
47,07/12/22 11:06:19 AM,31.34,31.484,,,
48,07/12/22 11:06:20 AM,31.34,31.484,,,
49,07/12/22 11:06:21 AM,31.34,31.484,,,
50,07/12/22 11:06:22 AM,31.34,31.484,,,
51,07/12/22 11:06:23 AM,31.34,31.484,,,
52,07/12/22 11:06:24 AM,31.68,31.484,,,
53,07/12/22 11:06:25 AM,31.68,31.484,,,
54,07/12/22 11:06:26 AM,31.34,31.484,,,
55,07/12/22 11:06:27 AM,31.34,31.484,,,
56,07/12/22 11:06:28 AM,31.34,31.484,,,
57,07/12/22 11:06:29 AM,31.34,31.484,,,
58,07/12/22 11:06:30 AM,31.34,31.459,,,
59,07/12/22 11:06:31 AM,31.68,31.484,,,
60,07/12/22 11:06:32 AM,31.68,31.484,,,
61,07/12/22 11:06:33 AM,31.34,31.459,,,
62,07/12/22 11:06:34 AM,31.68,31.459,,,
63,07/12/22 11:06:35 AM,31.68,31.484,,,
64,07/12/22 11:06:36 AM,31.68,31.484,,,
65,07/12/22 11:06:37 AM,31.34,31.459,,,
66,07/12/22 11:06:38 AM,31.68,31.459,,,
67,07/12/22 11:06:39 AM,31.68,31.459,,,
68,07/12/22 11:06:40 AM,31.68,31.459,,,
69,07/12/22 11:06:41 AM,31.68,31.459,,,
70,07/12/22 11:06:42 AM,31.68,31.459,,,
71,07/12/22 11:06:43 AM,31.68,31.459,,,
72,07/12/22 11:06:44 AM,31.68,31.459,,,
73,07/12/22 11:06:45 AM,31.68,31.484,,,
74,07/12/22 11:06:46 AM,31.68,31.459,,,
75,07/12/22 11:06:47 AM,31.68,31.484,,,
76,07/12/22 11:06:48 AM,31.68,31.484,,,
