"Plot Title: flam.mid"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 1282988, SEN S/N: 1282988, LBL: k)","Temp, °C (LGR S/N: 1282988, SEN S/N: 1282988, LBL: temp)","Host Connected (LGR S/N: 1282988)","Stopped (LGR S/N: 1282988)","End Of File (LGR S/N: 1282988)"
1,07/12/22 11:06:11 AM,31.34,31.103,,,
2,07/12/22 11:06:12 AM,31.01,31.103,,,
3,07/12/22 11:06:13 AM,31.34,31.103,,,
4,07/12/22 11:06:14 AM,31.34,31.128,,,
5,07/12/22 11:06:15 AM,31.01,31.103,,,
6,07/12/22 11:06:16 AM,31.34,31.128,,,
7,07/12/22 11:06:17 AM,31.34,31.128,,,
8,07/12/22 11:06:18 AM,31.34,31.128,,,
9,07/12/22 11:06:19 AM,31.34,31.128,,,
10,07/12/22 11:06:20 AM,31.34,31.128,,,
11,07/12/22 11:06:21 AM,31.34,31.128,,,
12,07/12/22 11:06:22 AM,31.34,31.128,,,
13,07/12/22 11:06:23 AM,31.34,31.128,,,
14,07/12/22 11:06:24 AM,31.34,31.153,,,
15,07/12/22 11:06:25 AM,31.34,31.153,,,
16,07/12/22 11:06:26 AM,31.34,31.153,,,
17,07/12/22 11:06:27 AM,31.34,31.153,,,
18,07/12/22 11:06:28 AM,31.34,31.153,,,
19,07/12/22 11:06:29 AM,31.34,31.153,,,
20,07/12/22 11:06:30 AM,31.34,31.153,,,
21,07/12/22 11:06:31 AM,31.34,31.153,,,
22,07/12/22 11:06:32 AM,31.34,31.153,,,
23,07/12/22 11:06:33 AM,31.34,31.153,,,
24,07/12/22 11:06:34 AM,31.34,31.179,,,
25,07/12/22 11:06:35 AM,31.34,31.153,,,
26,07/12/22 11:06:36 AM,31.68,31.179,,,
27,07/12/22 11:06:37 AM,31.34,31.179,,,
28,07/12/22 11:06:38 AM,31.34,31.179,,,
29,07/12/22 11:06:39 AM,31.34,31.179,,,
30,07/12/22 11:06:40 AM,31.34,31.179,,,
31,07/12/22 11:06:41 AM,31.34,31.179,,,
32,07/12/22 11:06:42 AM,31.34,31.179,,,
33,07/12/22 11:06:43 AM,31.34,31.179,,,
34,07/12/22 11:06:44 AM,31.34,31.179,,,
35,07/12/22 11:06:45 AM,31.34,31.179,,,
36,07/12/22 11:06:46 AM,31.68,31.179,,,
37,07/12/22 11:06:47 AM,31.68,31.179,,,
38,07/12/22 11:06:48 AM,31.34,31.179,,,
39,07/12/22 11:06:49 AM,31.68,31.179,,,
40,07/12/22 11:06:50 AM,31.68,31.204,,,
41,07/12/22 11:06:51 AM,31.68,31.179,,,
42,07/12/22 11:06:52 AM,31.68,31.204,,,
43,07/12/22 11:06:53 AM,31.68,31.204,,,
44,07/12/22 11:06:54 AM,31.68,31.204,,,
45,07/12/22 11:06:55 AM,31.68,31.204,,,
46,07/12/22 11:06:56 AM,31.68,31.204,,,
47,07/12/22 11:06:57 AM,31.68,31.204,,,
48,07/12/22 11:06:58 AM,31.68,31.204,,,
49,07/12/22 11:06:59 AM,31.68,31.204,,,
50,07/12/22 11:07:00 AM,31.68,31.204,,,
51,07/12/22 11:07:01 AM,31.68,31.204,,,
52,07/12/22 11:07:02 AM,31.68,31.204,,,
53,07/12/22 11:07:03 AM,31.68,31.204,,,
54,07/12/22 11:07:04 AM,31.68,31.204,,,
55,07/12/22 11:07:05 AM,31.68,31.204,,,
56,07/12/22 11:07:06 AM,31.68,31.204,,,
57,07/12/22 11:07:07 AM,31.68,31.204,,,
58,07/12/22 11:07:08 AM,31.68,31.204,,,
59,07/12/22 11:07:09 AM,31.68,31.204,,,
60,07/12/22 11:07:10 AM,31.68,31.204,,,
61,07/12/22 11:07:11 AM,31.68,31.204,,,
62,07/12/22 11:07:12 AM,31.68,31.204,,,
63,07/12/22 11:07:13 AM,31.68,31.230,,,
64,07/12/22 11:07:14 AM,31.68,31.230,,,
65,07/12/22 11:07:15 AM,31.68,31.230,,,
66,07/12/22 11:07:16 AM,31.68,31.230,,,
67,07/12/22 11:07:17 AM,31.68,31.230,,,
68,07/12/22 11:07:18 AM,31.68,31.230,,,
69,07/12/22 11:07:19 AM,31.68,31.230,,,
70,07/12/22 11:07:20 AM,31.68,31.230,,,
71,07/12/22 11:07:21 AM,31.68,31.230,,,
72,07/12/22 11:07:22 AM,31.68,31.230,,,
73,07/12/22 11:07:23 AM,31.68,31.230,,,
74,07/12/22 11:07:24 AM,31.68,31.230,,,
75,07/12/22 11:07:25 AM,31.68,31.230,,,
76,07/12/22 11:07:26 AM,31.68,31.230,,,
77,07/12/22 11:07:27 AM,31.68,31.230,,,
78,07/12/22 11:07:28 AM,31.68,31.230,,,
79,07/12/22 11:07:29 AM,31.68,31.230,,,
80,07/12/22 11:07:30 AM,31.68,31.230,,,
81,07/12/22 11:07:31 AM,31.68,31.230,,,
82,07/12/22 11:07:32 AM,31.68,31.230,,,
83,07/12/22 11:07:33 AM,32.01,31.255,,,
84,07/12/22 11:07:34 AM,31.68,31.255,,,
85,07/12/22 11:07:35 AM,32.01,31.255,,,
86,07/12/22 11:07:36 AM,32.01,31.255,,,
87,07/12/22 11:07:37 AM,32.01,31.255,,,
88,07/12/22 11:07:38 AM,32.01,31.255,,,
89,07/12/22 11:07:39 AM,31.68,31.255,,,
90,07/12/22 11:07:40 AM,32.01,31.255,,,
91,07/12/22 11:07:41 AM,32.01,31.255,,,
92,07/12/22 11:07:42 AM,32.01,31.255,,,
93,07/12/22 11:07:43 AM,32.01,31.255,,,
94,07/12/22 11:07:44 AM,32.01,31.255,,,
95,07/12/22 11:07:45 AM,32.01,31.255,,,
96,07/12/22 11:07:46 AM,32.01,31.255,,,
97,07/12/22 11:07:47 AM,32.01,31.255,,,
98,07/12/22 11:07:48 AM,32.01,31.255,,,
99,07/12/22 11:07:49 AM,32.01,31.255,,,
