sample_id,species_id,lma_fresh_mass_gm,leaf_area_cm2,lma_dry_mass_gm,number_of_leaflet,leaf1_length_cm,leaf2_length_cm,leaf3_length_cm,leaf4_length_cm,leaf5_length_cm
ED45,1022,0.1187,,0.0652,5,1.4,0.6,1.15,0.9,0.65
ED46,1036,0.5514,10.64,0.2771,5,2.9,1.8,2.9,1.7,2.4
ED47,2010,0.2365,12.91,0.0845,5,1.8,1.9,2.4,2.1,2.5
ED48,2010,0.195,10.88,0.0602,5,2.3,1.6,1.7,1.85,1.7
ED49,2010,0.1993,10.77,0.0678,5,2.2,2.25,2.2,2.1,2.2
ED50,2010,0.1458,6.75,0.0448,5,1.6,1.35,1.5,1.9,1.8
ED51,2010,0.2225,11.06,0.0741,5,2.3,2.3,1.8,1.85,1.8
ED52,2010,0.2152,12.01,0.0728,5,1.7,2.1,2.25,1.5,2.2
ED53,1021,0.618,18.71,0.3345,5,3.75,3,2.75,2.35,2.4
ED54,1036,0.7115,16.09,0.3698,5,2.6,2.5,2.7,2.7,2.95
ED55,1021,0.6155,16.93,0.3141,5,4.1,3.2,1.7,3.3,1.95
