#,Date-Time (CDT),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Button Down,Host Connected,End of File
1,05/20/2022 18:44:19,24.79,22.56,2.00,,,
2,05/20/2022 18:45:19,24.71,22.46,1.87,,,
3,05/20/2022 18:46:19,24.39,22.79,1.81,,,
4,05/20/2022 18:47:19,24.06,23.09,1.72,,,
5,05/20/2022 18:48:19,23.74,23.55,1.72,,,
6,05/20/2022 18:49:19,23.40,24.01,1.70,,,
7,05/20/2022 18:50:19,23.10,24.23,1.58,,,
8,05/20/2022 18:51:19,22.82,24.42,1.45,,,
9,05/20/2022 18:52:19,22.51,24.77,1.39,,,
10,05/20/2022 18:53:19,22.27,25.03,1.34,,,
11,05/20/2022 18:54:19,22.08,25.43,1.39,,,
12,05/20/2022 18:55:19,21.94,25.73,1.44,,,
13,05/20/2022 18:56:19,21.89,25.91,1.49,,,
14,05/20/2022 18:57:19,21.83,25.82,1.39,,,
15,05/20/2022 18:58:19,21.85,25.84,1.42,,,
16,05/20/2022 18:59:19,21.84,25.84,1.41,,,
17,05/20/2022 19:00:19,21.87,25.78,1.40,,,
18,05/20/2022 19:01:19,21.92,25.73,1.42,,,
19,05/20/2022 19:02:19,21.93,25.68,1.40,,,
20,05/20/2022 19:03:19,21.96,25.51,1.33,,,
21,05/20/2022 19:04:19,21.99,25.47,1.34,,,
22,05/20/2022 19:05:19,22.03,25.41,1.34,,,
23,05/20/2022 19:06:19,22.08,25.26,1.30,,,
24,05/20/2022 19:07:19,22.09,25.28,1.32,,,
25,05/20/2022 19:08:19,22.18,25.33,1.42,,,
26,05/20/2022 19:09:19,22.21,25.38,1.48,,,
27,05/20/2022 19:10:19,22.27,25.31,1.49,,,
28,05/20/2022 19:11:19,22.33,25.20,1.47,,,
29,05/20/2022 19:12:19,22.38,25.16,1.49,,,
30,05/20/2022 19:13:19,22.44,25.11,1.52,,,
31,05/20/2022 19:14:19,22.51,25.15,1.60,,,
32,05/20/2022 19:15:19,22.56,25.10,1.62,,,
33,05/20/2022 19:16:19,22.63,25.06,1.65,,,
34,05/20/2022 19:17:19,22.70,24.92,1.64,,,
35,05/20/2022 19:18:19,22.73,24.94,1.68,,,
36,05/20/2022 19:19:19,22.83,24.99,1.78,,,
37,05/20/2022 19:20:19,22.87,24.96,1.80,,,
38,05/20/2022 19:21:19,22.93,24.84,1.78,,,
39,05/20/2022 19:22:19,22.99,24.80,1.81,,,
40,05/20/2022 19:23:19,23.06,24.83,1.89,,,
41,05/20/2022 19:24:19,23.09,24.80,1.89,,,
42,05/20/2022 19:25:19,23.15,24.72,1.90,,,
43,05/20/2022 19:26:19,23.24,24.62,1.92,,,
44,05/20/2022 19:27:19,23.26,24.73,2.00,,,
45,05/20/2022 19:28:19,23.32,24.70,2.04,,,
46,05/20/2022 19:29:19,23.40,24.67,2.08,,,
47,05/20/2022 19:30:19,23.45,24.58,2.08,,,
48,05/20/2022 19:31:19,23.50,24.54,2.09,,,
49,05/20/2022 19:32:19,23.59,24.53,2.17,,,
50,05/20/2022 19:33:19,23.65,24.55,2.22,,,
51,05/20/2022 19:34:19,23.72,24.49,2.25,,,
52,05/20/2022 19:35:19,23.73,24.46,2.24,,,
53,05/20/2022 19:36:19,23.81,24.42,2.28,,,
54,05/20/2022 19:37:19,23.85,24.36,2.29,,,
55,05/20/2022 19:38:19,23.90,24.36,2.33,,,
56,05/20/2022 19:39:19,23.94,24.31,2.33,,,
57,05/20/2022 19:40:19,24.01,24.30,2.39,,,
58,05/20/2022 19:41:19,24.04,24.25,2.38,,,
59,05/20/2022 19:42:19,24.08,24.39,2.49,,,
60,05/20/2022 19:43:19,24.15,24.49,2.62,,,
61,05/20/2022 19:44:19,24.17,24.77,2.79,,,
62,05/20/2022 19:45:19,24.15,24.91,2.85,,,
