#,Date-Time (CDT),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Button Down,Host Connected,End of File
1,07/06/2022 20:02:21,24.53,36.84,8.83,,,
2,07/06/2022 20:03:21,24.44,37.07,8.85,,,
3,07/06/2022 20:04:21,24.31,37.37,8.85,,,
4,07/06/2022 20:05:21,24.15,37.67,8.83,,,
5,07/06/2022 20:06:21,24.02,38.31,8.96,,,
6,07/06/2022 20:07:21,23.86,38.66,8.95,,,
7,07/06/2022 20:08:21,23.69,39.22,9.02,,,
8,07/06/2022 20:09:21,23.50,39.46,8.93,,,
9,07/06/2022 20:10:21,23.28,39.87,8.90,,,
10,07/06/2022 20:11:21,23.08,39.90,8.73,,,
11,07/06/2022 20:12:21,22.90,40.17,8.66,,,
12,07/06/2022 20:13:21,22.64,40.57,8.58,,,
13,07/06/2022 20:14:21,22.40,40.95,8.50,,,
14,07/06/2022 20:15:21,22.13,41.27,8.38,,,
15,07/06/2022 20:16:21,21.96,41.79,8.41,,,
16,07/06/2022 20:17:21,21.69,42.18,8.30,,,
17,07/06/2022 20:18:21,21.51,42.68,8.31,,,
18,07/06/2022 20:19:21,21.31,43.00,8.24,,,
19,07/06/2022 20:20:21,21.13,43.27,8.17,,,
20,07/06/2022 20:21:21,20.99,43.62,8.16,,,
21,07/06/2022 20:22:21,20.87,43.91,8.15,,,
22,07/06/2022 20:23:21,20.72,44.44,8.19,,,
23,07/06/2022 20:24:21,20.63,44.85,8.25,,,
24,07/06/2022 20:25:21,20.55,45.01,8.22,,,
25,07/06/2022 20:26:21,20.56,45.09,8.26,,,
26,07/06/2022 20:27:21,20.62,44.96,8.28,,,
27,07/06/2022 20:28:21,20.64,44.94,8.29,,,
28,07/06/2022 20:29:21,20.73,44.64,8.27,,,
29,07/06/2022 20:30:21,20.85,44.89,8.46,,,
30,07/06/2022 20:31:21,20.94,44.34,8.36,,,
31,07/06/2022 20:32:21,21.06,44.08,8.38,,,
32,07/06/2022 20:33:21,21.19,43.66,8.36,,,
33,07/06/2022 20:34:21,21.32,43.38,8.38,,,
34,07/06/2022 20:35:21,21.45,43.23,8.45,,,
35,07/06/2022 20:36:21,21.57,43.21,8.55,,,
36,07/06/2022 20:37:21,21.66,42.89,8.52,,,
37,07/06/2022 20:38:21,21.81,42.70,8.59,,,
38,07/06/2022 20:39:21,21.92,42.61,8.65,,,
39,07/06/2022 20:40:21,22.06,42.29,8.67,,,
40,07/06/2022 20:41:21,22.18,41.89,8.64,,,
41,07/06/2022 20:42:21,22.29,41.77,8.70,,,
42,07/06/2022 20:43:21,22.40,41.85,8.83,,,
43,07/06/2022 20:44:21,22.52,41.44,8.79,,,
44,07/06/2022 20:45:21,22.60,41.30,8.80,,,
45,07/06/2022 20:46:21,22.68,40.96,8.76,,,
46,07/06/2022 20:47:21,22.76,40.76,8.75,,,
47,07/06/2022 20:48:21,22.85,40.62,8.79,,,
48,07/06/2022 20:49:21,22.93,40.45,8.79,,,
49,07/06/2022 20:50:21,22.98,40.33,8.80,,,
50,07/06/2022 20:51:21,23.03,40.13,8.77,,,
51,07/06/2022 20:52:21,23.11,40.08,8.82,,,
52,07/06/2022 20:53:21,23.17,39.95,8.83,,,
53,07/06/2022 20:54:21,23.25,39.88,8.87,,,
54,07/06/2022 20:55:21,23.31,39.72,8.87,,,
55,07/06/2022 20:56:21,23.37,39.67,8.90,,,
56,07/06/2022 20:57:21,23.46,39.49,8.92,,,
57,07/06/2022 20:58:21,23.51,39.41,8.93,,,
58,07/06/2022 20:59:21,23.53,39.33,8.91,,,
59,07/06/2022 21:00:21,23.60,39.42,9.02,,,
60,07/06/2022 21:01:21,23.66,39.20,8.98,,,
61,07/06/2022 21:02:21,23.71,40.04,9.34,,,
62,07/06/2022 21:03:21,23.73,39.12,9.02,,,
63,07/06/2022 21:04:21,23.82,38.82,8.98,,,
64,07/06/2022 21:05:21,23.88,38.60,8.95,,,
65,07/06/2022 21:06:21,23.89,38.41,8.89,,,
66,07/06/2022 21:07:21,23.97,38.40,8.95,,,
67,07/06/2022 21:08:21,23.98,38.44,8.98,,,
68,07/06/2022 21:09:21,23.98,38.35,8.94,,,
69,07/06/2022 21:10:21,23.95,38.36,8.92,,,
70,07/06/2022 21:11:21,23.92,38.31,8.88,,,
71,07/06/2022 21:12:21,23.85,38.43,8.86,,,
72,07/06/2022 21:13:21,23.76,38.64,8.86,,,
73,07/06/2022 21:14:21,23.66,38.87,8.85,,,
74,07/06/2022 21:15:21,23.55,39.05,8.83,,,
75,07/06/2022 21:16:21,23.36,39.28,8.74,,,
76,07/06/2022 21:17:21,23.20,39.67,8.75,,,
77,07/06/2022 21:18:21,23.01,39.95,8.68,,,
78,07/06/2022 21:19:21,22.79,40.40,8.65,,,
79,07/06/2022 21:20:21,22.57,40.77,8.59,,,
80,07/06/2022 21:21:21,22.35,41.18,8.54,,,
81,07/06/2022 21:22:21,22.11,41.65,8.49,,,
82,07/06/2022 21:23:21,21.89,42.08,8.44,,,
83,07/06/2022 21:24:21,21.69,42.58,8.44,,,
84,07/06/2022 21:25:21,21.49,43.05,8.42,,,
85,07/06/2022 21:26:21,21.31,43.48,8.40,,,
86,07/06/2022 21:27:21,21.13,43.91,8.38,,,
87,07/06/2022 21:28:21,21.02,44.31,8.42,,,
88,07/06/2022 21:29:21,20.80,44.63,8.33,,,
89,07/06/2022 21:30:21,20.69,44.96,8.33,,,
90,07/06/2022 21:31:21,20.54,45.39,8.34,,,
91,07/06/2022 21:32:21,20.42,45.72,8.34,,,
92,07/06/2022 21:33:21,20.35,45.95,8.35,,,
93,07/06/2022 21:34:21,20.27,46.14,8.33,,,
94,07/06/2022 21:35:21,20.26,46.20,8.34,,,
95,07/06/2022 21:36:21,20.29,46.16,8.36,,,
96,07/06/2022 21:37:21,20.31,46.09,8.36,,,
97,07/06/2022 21:38:21,20.46,45.96,8.45,,,
98,07/06/2022 21:39:21,20.51,45.83,8.46,,,
99,07/06/2022 21:40:21,20.62,45.59,8.48,,,
100,07/06/2022 21:41:21,20.72,45.38,8.50,,,
101,07/06/2022 21:42:21,20.88,45.13,8.56,,,
102,07/06/2022 21:43:21,21.00,44.82,8.57,,,
103,07/06/2022 21:44:21,21.13,44.57,8.60,,,
104,07/06/2022 21:45:21,21.23,44.34,8.63,,,
105,07/06/2022 21:46:21,21.37,44.07,8.66,,,
106,07/06/2022 21:47:21,21.48,43.75,8.65,,,
107,07/06/2022 21:48:21,21.68,43.48,8.74,,,
108,07/06/2022 21:49:21,21.79,43.26,8.76,,,
109,07/06/2022 21:50:21,21.94,43.02,8.82,,,
110,07/06/2022 21:51:21,22.05,42.83,8.85,,,
111,07/06/2022 21:52:21,22.16,42.58,8.86,,,
112,07/06/2022 21:53:21,22.29,42.44,8.93,,,
113,07/06/2022 21:54:21,22.37,42.17,8.91,,,
114,07/06/2022 21:55:21,22.51,42.08,9.00,,,
115,07/06/2022 21:56:21,22.57,41.78,8.95,,,
116,07/06/2022 21:57:21,22.64,41.57,8.94,,,
117,07/06/2022 21:58:21,22.71,41.49,8.98,,,
118,07/06/2022 21:59:21,22.81,41.41,9.04,,,
119,07/06/2022 22:00:21,22.85,41.32,9.04,,,
120,07/06/2022 22:01:21,22.95,41.20,9.08,,,
121,07/06/2022 22:02:21,23.00,41.10,9.10,,,
122,07/06/2022 22:03:21,23.10,40.98,9.14,,,
123,07/06/2022 22:04:21,23.16,40.78,9.12,,,
124,07/06/2022 22:05:21,23.23,40.69,9.15,,,
125,07/06/2022 22:06:21,23.30,40.60,9.18,,,
126,07/06/2022 22:07:21,23.37,40.39,9.17,,,
127,07/06/2022 22:08:21,23.43,40.27,9.18,,,
128,07/06/2022 22:09:21,23.53,40.30,9.28,,,
129,07/06/2022 22:10:21,23.59,40.05,9.24,,,
130,07/06/2022 22:11:21,23.65,39.94,9.25,,,
131,07/06/2022 22:12:21,23.70,39.79,9.24,,,
132,07/06/2022 22:13:21,23.75,39.60,9.21,,,
133,07/06/2022 22:14:21,23.84,39.27,9.17,,,
134,07/06/2022 22:15:21,23.85,39.11,9.12,,,
135,07/06/2022 22:16:21,23.92,39.02,9.15,,,
136,07/06/2022 22:17:21,23.88,38.91,9.07,,,
137,07/06/2022 22:18:21,23.90,38.87,9.07,,,
138,07/06/2022 22:19:21,23.88,38.87,9.05,,,
139,07/06/2022 22:20:21,23.84,38.86,9.01,,,
140,07/06/2022 22:21:21,23.75,39.06,9.01,,,
141,07/06/2022 22:22:21,23.68,39.18,8.99,,,
142,07/06/2022 22:23:21,23.53,39.39,8.94,,,
143,07/06/2022 22:24:21,23.41,39.63,8.92,,,
144,07/06/2022 22:25:21,23.24,39.90,8.87,,,
145,07/06/2022 22:26:21,23.05,40.23,8.82,,,
146,07/06/2022 22:27:21,22.87,40.61,8.80,,,
147,07/06/2022 22:28:21,22.64,40.95,8.72,,,
148,07/06/2022 22:29:21,22.44,41.43,8.72,,,
149,07/06/2022 22:30:21,22.24,41.92,8.70,,,
150,07/06/2022 22:31:21,21.96,42.41,8.63,,,
151,07/06/2022 22:32:21,21.77,42.91,8.63,,,
152,07/06/2022 22:33:21,21.55,43.32,8.57,,,
153,07/06/2022 22:34:21,21.38,43.73,8.55,,,
154,07/06/2022 22:35:21,21.19,44.07,8.49,,,
155,07/06/2022 22:36:21,21.00,44.51,8.47,,,
156,07/06/2022 22:37:21,20.86,45.17,8.56,,,
157,07/06/2022 22:38:21,20.69,45.89,8.64,,,
158,07/06/2022 22:39:21,20.55,46.46,8.69,,,
159,07/06/2022 22:40:21,20.43,46.92,8.73,,,
160,07/06/2022 22:41:21,20.32,47.20,8.72,,,
161,07/06/2022 22:42:21,20.24,47.28,8.67,,,
162,07/06/2022 22:43:21,20.21,47.21,8.62,,,
163,07/06/2022 22:44:21,20.25,47.08,8.61,,,
164,07/06/2022 22:45:21,20.28,46.95,8.60,,,
165,07/06/2022 22:46:21,20.33,46.80,8.60,,,
166,07/06/2022 22:47:21,20.44,46.55,8.62,,,
167,07/06/2022 22:48:21,20.50,46.35,8.62,,,
168,07/06/2022 22:49:21,20.61,46.08,8.63,,,
169,07/06/2022 22:50:21,20.73,45.82,8.65,,,
170,07/06/2022 22:51:21,20.83,45.50,8.64,,,
171,07/06/2022 22:52:21,20.92,45.18,8.62,,,
172,07/06/2022 22:53:21,21.07,44.91,8.67,,,
173,07/06/2022 22:54:21,21.18,44.66,8.68,,,
174,07/06/2022 22:55:21,21.33,44.43,8.74,,,
175,07/06/2022 22:56:21,21.44,44.16,8.75,,,
176,07/06/2022 22:57:21,21.54,43.91,8.76,,,
177,07/06/2022 22:58:21,21.72,43.76,8.87,,,
178,07/06/2022 22:59:21,21.77,43.55,8.84,,,
179,07/06/2022 23:00:21,21.96,43.28,8.93,,,
180,07/06/2022 23:01:21,22.08,43.10,8.97,,,
181,07/06/2022 23:02:21,22.18,42.87,8.98,,,
182,07/06/2022 23:03:21,22.32,42.66,9.03,,,
183,07/06/2022 23:04:21,22.41,42.42,9.04,,,
184,07/06/2022 23:05:21,22.51,42.25,9.06,,,
185,07/06/2022 23:06:21,22.61,42.16,9.12,,,
186,07/06/2022 23:07:21,22.66,41.92,9.08,,,
187,07/06/2022 23:08:21,22.73,41.74,9.09,,,
188,07/06/2022 23:09:21,22.85,41.70,9.18,,,
189,07/06/2022 23:10:21,22.90,41.54,9.16,,,
190,07/06/2022 23:11:21,22.97,41.60,9.25,,,
191,07/06/2022 23:12:21,23.01,41.36,9.20,,,
192,07/06/2022 23:13:21,23.08,41.16,9.18,,,
193,07/06/2022 23:14:21,23.14,41.05,9.20,,,
194,07/06/2022 23:15:21,23.24,40.83,9.21,,,
195,07/06/2022 23:16:21,23.28,40.81,9.24,,,
196,07/06/2022 23:17:21,23.30,40.68,9.21,,,
197,07/06/2022 23:18:21,23.38,40.54,9.23,,,
198,07/06/2022 23:19:21,23.44,40.53,9.28,,,
199,07/06/2022 23:20:21,23.50,40.67,9.38,,,
200,07/06/2022 23:21:21,23.54,40.35,9.30,,,
201,07/06/2022 23:22:21,23.60,40.22,9.31,,,
202,07/06/2022 23:23:21,23.65,40.24,9.36,,,
203,07/06/2022 23:24:21,23.72,40.29,9.44,,,
204,07/06/2022 23:25:21,23.74,40.68,9.61,,,
205,07/06/2022 23:26:21,23.80,41.17,9.84,,,
206,07/06/2022 23:27:21,23.87,41.14,9.89,,,
207,07/06/2022 23:28:21,23.87,40.95,9.82,,,
208,07/06/2022 23:29:21,23.89,40.48,9.67,,,
209,07/06/2022 23:30:21,23.90,39.93,9.47,,,
