date,lat,long,site,sample_id,field_taxon,species_id,notes
5/26/2022,30.869288,-99.492579,Menard,KD12,Ziziphus obtusifolia,2007,Ziziphus
5/26/2022,30.869297,-99.492681,Menard,KD11,Rhus microphylla,2006,Rush microphylla
5/26/2022,30.869176,-99.492604,Menard,KD10,Prosopis glandulosa,1113,Mesquite
5/26/2022,30.082295,-98.780011,Kendall 2021-7,KD09,Ulmus crassifolia,2022,Cedar elm
5/26/2022,30.082193,-98.77962,Kendall 2021-7,KD08,Mahonia trifoliolata,1002,Mahonia
5/26/2022,30.081273,-98.780502,Kendall 2021-7,KD07,Juniperus ashei,1022,
5/26/2022,30.081313,-98.780358,Kendall 2021-7,KD06,Diospyros texana,1000,
5/25/2022,30.012558,-98.658996,Kendall 2021-8,KD05,Arbutus xalapensis,1085,Madrone
5/25/2022,30.013872,-98.659327,Kendall 2021-8,KD04,Senegalia wrightii,2005,Acacia
5/25/2022,30.011069,-98.662154,Kendall 2021-8,KD03,Unknown spp,3000,Same as KD02
5/25/2022,30.011019,-98.662149,Kendall 2021-8,KD02,Unknown spp,3000,"Unknown species, need to get the ID of it, probably forestiera"
5/25/2022,30.011083,-98.662214,Kendall 2021-8,KD01,Frangula caroliniana,2038,Buckthorn
5/25/2022,29.784157,-99.027087,Bandera 2021-32,BD23,Ulmus crassifolia,2022,Cedar elm
5/25/2022,29.784541,-99.025665,Bandera 2021-32,BD22,Mahonia trifoliolata,1002,Trifoliolata
5/25/2022,29.784247,-99.026452,Bandera 2021-32,BD21,Diospyros texana,1000,
5/25/2022,29.784642,-99.02614,Uvalde 2021-3,BD20,Juniperus ashei,1022,
5/24/2022,29.449231,-99.627105,Uvalde 2021-3,UV08,Diospyros texana,1000,UV08
5/24/2022,29.449263,-99.627218,Uvalde 2021-3,UV07,Forestiera pubescens,2010,"Elbowbush, same species id as reticulata"
5/24/2022,29.44931,-99.62728,Uvalde 2021-3,UV06,Diospyros texana,1000,
5/24/2022,29.449199,-99.628196,Uvalde 2021-3,UV05,Rhus virens,1036,
